"","x"
"1",2989
"2",3141
"3",92
"4",1422
"5",3757
"6",3772
"7",4920
"8",5233
"9",5368
"10",5423
"11",5433
"12",158
"13",697
"14",713
"15",1033
"16",1626
"17",1728
"18",1852
"19",2211
"20",6795
"21",6910
"22",7927
"23",8712
"24",2837
"25",3290
"26",3356
"27",3386
"28",3390
"29",3636
"30",4174
"31",4383
"32",5192
"33",5232
"34",5821
"35",536
"36",729
"37",984
"38",1393
"39",1429
"40",1698
"41",2198
"42",6671
"43",6692
"44",7385
"45",7896
"46",8196
"47",8992
"48",9125
"49",1734
"50",3717
"51",5158
"52",6408
"53",7196
"54",8005
"55",8495
"56",9456
"57",2801
"58",3119
"59",4939
"60",179
"61",293
"62",929
"63",1865
"64",2282
"65",2451
"66",7852
"67",7977
"68",1669
"69",1732
"70",7541
