project_id,project_avg_loss,synth_control__avg_loss,avg_loss_diff,project_cum_loss,synth_control_cum_loss,cum_loss_diff,climate_effect,significant
875,53.11,97.44,-44.33,743.49,1364.12,-620.63,Yes,No
963,210.65,210.08,0.57,2527.83,2520.94,6.89,No,No
977-1,92.65,1455.16,-1362.51,1297.08,20372.2,-19075.12,Yes,Yes
977-2,43.3,86.33,-43.03,606.15,1208.6,-602.45,Yes,Yes
977-3,106.07,333.5,-227.44,1484.91,4669,-3184.09,Yes,Yes
981-1,459.42,1250.54,-791.11,6431.94,17507.55,-11075.61,Yes,Yes
981-2,47.96,55.45,-7.49,671.4,776.26,-104.86,Yes,No
981-3,8.96,983.88,-974.93,125.37,13774.35,-13648.98,Yes,Yes
1112,50.28,42.24,8.04,603.36,506.92,96.44,No,No
1113,76.94,102.87,-25.93,923.22,1234.42,-311.2,Yes,Yes
1115,176.21,85.87,90.34,2114.46,1030.38,1084.08,No,Yes
1118,381.13,56.29,324.84,5335.83,788.12,4547.71,No,Yes
1329,137.07,667.55,-530.48,1507.77,7343.09,-5835.32,Yes,Yes
1503,1223.89,639.88,584,13462.74,7038.73,6424.01,No,No
1571,84.52,360.15,-275.63,845.19,3601.46,-2756.27,Yes,No
1654,20.89,453.95,-433.06,208.89,4539.49,-4330.6,Yes,No
1686,167.37,25.34,142.03,1506.33,228.09,1278.24,No,No
1953-3,171.18,569.36,-398.18,1198.26,3985.49,-2787.23,Yes,Yes
2252,223.64,661.32,-437.68,1565.46,4629.21,-3063.75,Yes,No
2373-1,24.06,11.28,12.78,72.18,33.85,38.33,No,No
2373-2,3.45,2.2,1.25,10.35,6.61,3.74,No,No
2508-1,43.06,451.89,-408.83,215.28,2259.44,-2044.16,Yes,Yes
2508-2,168.52,173.34,-4.82,842.58,866.68,-24.1,Yes,No
2539,10.62,29.15,-18.53,31.86,87.44,-55.58,Yes,Yes
2558,144.86,770.17,-625.31,869.13,4621.02,-3751.89,Yes,Yes
2566-1,1837.11,261.42,1575.69,12859.74,1829.94,11029.8,No,Yes
2566-2,609.65,39.64,570,4267.53,277.51,3990.02,No,Yes
2566-3,1079.37,818.59,260.78,7555.59,5730.1,1825.49,No,No
856,26.38,45.28,-18.9,342.9,588.58,-245.68,Yes,No
1389-1,34.58,8.62,25.96,345.78,86.2,259.58,No,No
1389-2,10.09,7.59,2.5,100.89,75.93,24.96,No,No
1390,259.68,64.8,194.88,2337.12,583.18,1753.94,No,No
1391,19.53,6.19,13.34,195.3,61.92,133.38,No,No
1392,3.53,2.83,0.7,35.28,28.27,7.01,No,No
1395,33.09,60.32,-27.23,330.93,603.21,-272.28,Yes,Yes
1396,16.54,26.71,-10.17,148.86,240.35,-91.49,Yes,Yes
1399,13.57,13.28,0.3,135.72,132.75,2.97,No,No
1400,8.21,2.73,5.48,82.08,27.3,54.78,No,Yes
1566,974.75,772.28,202.47,9747.45,7722.79,2024.66,No,Yes
2723,42.39,39.75,2.64,169.56,159,10.56,No,No
844,54.03,24.84,29.2,756.45,347.7,408.75,No,Yes
944,271.42,737.57,-466.15,4071.33,11063.54,-6992.21,Yes,Yes
958,259.16,531.4,-272.24,3369.06,6908.15,-3539.09,Yes,No
985,478.46,650.58,-172.12,7176.96,9758.73,-2581.77,Yes,Yes
1067,261.42,384.13,-122.71,3398.49,4993.68,-1595.19,Yes,No
1218,15.06,64.33,-49.27,180.72,771.97,-591.25,Yes,No
1360-1,981.06,283.81,697.25,12753.81,3689.54,9064.27,No,Yes
1360-2,75.01,77.98,-2.97,975.15,1013.78,-38.63,Yes,Yes
1360-3,32.21,74.22,-42.01,418.68,964.8,-546.12,Yes,No
1799,85.8,60.08,25.72,514.8,360.48,154.32,No,No
1882,19.85,48.59,-28.73,198.54,485.87,-287.33,Yes,Yes
2278,67.5,52.08,15.42,337.5,260.4,77.1,No,No
2502,254.03,242.87,11.15,1524.15,1457.23,66.92,No,No
2510-1,13.01,28.87,-15.86,91.08,202.12,-111.04,Yes,No
934,1139.81,1155.09,-15.28,13677.75,13861.12,-183.37,Yes,No
1311,3520.28,1980.88,1539.4,56324.52,31694.13,24630.39,No,Yes
1674,617.24,1180.88,-563.63,6789.69,12989.67,-6199.98,Yes,Yes
1201,10.73,1067.59,-1056.87,117.99,11743.54,-11625.55,Yes,Yes
1897,1336.62,659.17,677.45,8019.72,3955.01,4064.71,No,Yes
1202,2.89,185.92,-183.04,40.41,2602.92,-2562.51,Yes,Yes
1775-1,15.32,298.94,-283.62,122.58,2391.52,-2268.94,Yes,No
1775-2,96,19.69,76.31,767.97,157.49,610.48,No,No
1775-3,35.25,2.14,33.11,281.97,17.12,264.85,No,No
904,885.63,885.56,0.07,13284.45,13283.41,1.04,No,Yes
1650,1091.43,1573.07,-481.64,14188.59,20449.92,-6261.33,Yes,Yes
1398,989.92,337.51,652.41,8909.28,3037.6,5871.68,No,No
