country,project_id,final_validation_year,project_df_ha,synth_control_df_ha,diff_ha,diff_perc_proj_area
Cambodia,1650,2010,2389.8,2142,247.8,0.1
Cambodia,1748,2015,3089.9,2700.8,389,0.1
Cambodia,904,2007,1122.3,1032.2,90,0.1
Colombia,1389,2013,929.9,927.2,2.7,0
Colombia,1390,2014,365.1,565.6,-200.5,-0.2
Colombia,1391,2013,55.2,190.9,-135.8,-0.2
Colombia,1392,2013,132,89,43,0.1
Colombia,1395,2013,554.8,890.7,-335.8,-0.4
Colombia,1396,2014,643.3,659.2,-16,0
Colombia,1400,2013,89.7,268.5,-178.7,-0.3
Colombia,1566,2013,10761.7,9563.2,1198.5,0.1
Colombia,856,2011,88.6,147.9,-59.4,-0.5
DRC,1359,2008,1509.9,1572.4,-62.4,0
DRC,934,2010,8234.9,7975.1,259.8,0.1
Peru,1067,2011,1953.1,1687.8,265.4,0
Peru,1182,2013,243.6,252.3,-8.8,0
Peru, 1360-1,2010,381.2,364.8,16.3,0
Peru, 1360-2,2010,34.7,31.6,3,0
Peru, 1360-3,2010,73.2,73.8,-0.5,0
Peru,2278,2018,995.8,718.3,277.4,0.2
Peru,844,2009,50.8,60.5,-9.7,0
Peru,944,2009,2626.6,2843.2,-216.6,-0.1
Peru,958,2011,1504.6,1749,-244.4,-0.1
Peru,985,2009,2914.3,2224.3,690,0.1
Tanzania,1325,2011,2913.9,3456.2,-542.3,-0.8* 
Tanzania,1897,2017,4279,7701.1,-3422.2,-1.7* 
Tanzania,1900,2016,16.3,7.1,9.2,0
Zambia,1202,2009,193.5,37.7,155.8,0.4
Zambia, 1775-1,2015,1526.2,779.7,746.6,0.1
Zambia, 1775-2,2015,136.5,406.9,-270.4,-0.2
Zambia, 1775-3,2015,197.2,157.8,39.4,0
