"","system:index","ID","treecover_2000","treated","accessibility","accessibility_walking_only","aspect","elevation","hillshade","slope","year","loss","cum_loss","treecover_remaining","defo_distance"
"1","1_0",1,869.042048950195,1,286,746,126,193,172,3,1,0,0,869.042048950195,274.963633959111
"2","1_0",1,869.042048950195,1,286,746,126,193,172,3,2,0,0,869.042048950195,96.1769203083567
"3","1_0",1,869.042048950195,1,286,746,126,193,172,3,3,0,0,869.042048950195,96.1769203083567
"4","1_0",1,869.042048950195,1,286,746,126,193,172,3,4,0,0,869.042048950195,96.1769203083567
"5","1_0",1,869.042048950195,1,286,746,126,193,172,3,5,0,0,869.042048950195,74.7328575661335
"6","1_0",1,869.042048950195,1,286,746,126,193,172,3,6,0,0,869.042048950195,74.7328575661335
"7","1_0",1,869.042048950195,1,286,746,126,193,172,3,7,0,0,869.042048950195,74.7328575661335
"8","1_0",1,869.042048950195,1,286,746,126,193,172,3,8,0,0,869.042048950195,74.7328575661335
"9","1_0",1,869.042048950195,1,286,746,126,193,172,3,9,0,0,869.042048950195,74.7328575661335
"10","1_0",1,869.042048950195,1,286,746,126,193,172,3,10,0,0,869.042048950195,74.7328575661335
"11","1_0",1,869.042048950195,1,286,746,126,193,172,3,11,0,0,869.042048950195,74.7328575661335
"12","1_0",1,869.042048950195,1,286,746,126,193,172,3,12,0,0,869.042048950195,74.7328575661335
"13","1_0",1,869.042048950195,1,286,746,126,193,172,3,13,0,0,869.042048950195,74.7328575661335
"14","1_0",1,869.042048950195,1,286,746,126,193,172,3,14,0,0,869.042048950195,74.7328575661335
"15","1_0",1,869.042048950195,1,286,746,126,193,172,3,15,0,0,869.042048950195,74.7328575661335
"16","1_0",1,869.042048950195,1,286,746,126,193,172,3,16,0,0,869.042048950195,74.7328575661335
"17","1_0",1,869.042048950195,1,286,746,126,193,172,3,17,0,0,869.042048950195,72.0069441095788
"18","1_0",1,869.042048950195,1,286,746,126,193,172,3,18,0,0,869.042048950195,72.0069441095788
"19","1_0",1,869.042048950195,1,286,746,126,193,172,3,19,0,0,869.042048950195,72.0069441095788
"20","1_0",1,869.042048950195,1,286,746,126,193,172,3,20,0,0,869.042048950195,72.0069441095788
"21","1_0",1,869.042048950195,1,286,746,126,193,172,3,21,0,0,869.042048950195,72.0069441095788
