system:index,ID,sum,.geo
1_0,1.0,4.249633843027826E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,4.2595838440647095E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,3.7385624747827895E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,4.270758700701082E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,3.9018753732751966E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,4.271011189178557E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,1.4108332256910501E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,4.0289128689942814E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,4.2873582491326794E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,4.280616487297065E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,3.791990609077481E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,3.256464094507776E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,312760.0073352288,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,4.277018446934101E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,3886054.999115728,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,4.292115718482956E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,3.1653458764700834E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,2.6148138539963506E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,2.340242728307656E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,3.4474707097289525E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,2.096987088351121E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,4.2548149641218744E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,1.5326014431033172E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,4.0709656172251344E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,4.233868469811282E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,4.280327709103909E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,1.2017962542752454E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,4.062824785639025E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,4.278595191643626E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,4.261276632952993E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,4.2096840671327844E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,1.6382682036388231E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,4.259653612476219E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,4.166785544933908E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,4.2669633770573854E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,3.6794433512147635E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,4.2709838785592645E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,4.2740718252144046E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,4.2701077322191864E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,3.468184722434549E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,4.211496116273589E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,1.8892704430807196E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
