system:index,ID,sum,.geo
1_0,1.0,1134554.640361874,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,105971.94066276531,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,43972.622800604135,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,889903.0321823867,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,179047.95578344018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,17216.73719116211,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,1768.525542602539,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,856849.6496685127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,1749250.7812174605,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,294571.2058845428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,238079.7670669281,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,344032.3044209917,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,241768.68784362794,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,132843.04166671692,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,6981.805791015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,113193.07731494146,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,196105.87536743155,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,223839.15145718458,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,74146.55114315261,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,6204.0289624023435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,214059.05227284157,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,1595724.8007073174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,28227.044544512584,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,46.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,47.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,48.0,937073.6935362034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,49.0,671577.6954982321,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49,50.0,7101.296176757813,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50,51.0,15941.815507202151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51,52.0,74298.61983886715,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52,53.0,299969.825158081,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53,54.0,2189156.8948627454,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,55.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55,56.0,5312.451182250977,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56,57.0,2635578.599345331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,58.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58,59.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59,60.0,650919.2996148586,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60,61.0,546715.5566291859,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,62.0,725643.2767140784,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62,63.0,4246.31184387207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63,64.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_64,65.0,260604.79188283862,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_65,66.0,83163.98565063477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_66,67.0,41169.00767456054,"{""type"":""MultiPoint"",""coordinates"":[]}"
