system:index,ID,sum,.geo
1_0,1.0,1.780886271286914E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,1.788985846392094E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,6.804645232812421E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,1.0099542544201473E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,1.8354591603557687E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,1.8239409667409592E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,1.796279819112235E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,1.8335156434239137E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,1.8045719099932244E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,9.183204414850657E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,1.8039134889345877E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,1.8255761300299635E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,1.568067200246954E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,1.8239622405576148E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,1.4443282663929348E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,1.3661053236854398E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,1.8100059639834795E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,1.8065381853325691E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,1.837752373532189E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,1.7082002083895364E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,1.7773746626631393E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,1.826084007718832E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,1.8145696965811772E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,1.5320534662165608E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,1.8364157561060522E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,1.446872268264337E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,1.7918315864921954E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,1.8407707172938623E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,1.70500243986832E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,1.7911889199316707E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,1.6145548287976744E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,1.8376100007146306E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,1.8359034195753763E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,1.779477965927519E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,1.8410432293731835E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,1.8165569433465354E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,1.7027548956133008E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,1.7764503264630299E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,1.8162523802539968E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,1.8184339358867364E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,1.8371857658106503E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,1.8377650489429874E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,1.8382737862155104E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,1.8180627820432155E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,1.8068604725645578E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,46.0,1.838056517154109E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,47.0,1.8202425774150534E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,48.0,1.8270354064827805E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,49.0,1.7515066655311494E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49,50.0,1.8000841985792232E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50,51.0,1.8221614451423554E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51,52.0,1.801068321702759E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52,53.0,1.8344166263279393E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53,54.0,1.8339732790027337E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,55.0,1.8405772087985005E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55,56.0,1.7265593391865516E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56,57.0,1.8243091633206213E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,58.0,1.8130445922953079E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58,59.0,1.820532908944787E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59,60.0,1.8397400029130135E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60,61.0,1.8234444448691134E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,62.0,1.7342379169434266E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62,63.0,1.8185061528455813E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63,64.0,1.8317271567813663E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_64,65.0,1.8392884045486112E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_65,66.0,1.8012455795623417E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_66,67.0,1.8370564708027446E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_67,68.0,1.6339429203100266E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_68,69.0,1.8412143253764367E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_69,70.0,1.8174285661885164E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_70,71.0,1.8419068918520355E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_71,72.0,1.8413756812341218E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_72,73.0,1.8000530121943104E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_73,74.0,1.8388555271394405E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_74,75.0,1.7951729696203146E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_75,76.0,1.7916061355717716E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_76,77.0,1.8354956892585583E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_77,78.0,1.8402459360876708E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_78,79.0,1.8337543018552554E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_79,80.0,1.804314770980923E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_80,81.0,1.8312024406919096E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_81,82.0,1.8084690733498273E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_82,83.0,1.7911530624797726E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_83,84.0,1.8082025461423213E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
