system:index,ID,sum,.geo
1_0,1.0,6920407.084368607,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,506140.2999251685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,705943.162870725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,4616136.126708369,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,8861.99072265625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,57234.360100097656,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,6509141.888212723,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,112236.16216064453,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,381461.03563627356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,1.2729023690422041E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,1720660.579087668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,261254.12371923117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,1.0018370349689066E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,651029.4912948069,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,8952186.08269105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,2945836.191125488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,971145.7556945801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,387487.91231384274,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,16228.068060302734,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,800154.0380908205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,7411447.494876558,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,91061.7182055664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,1341973.2546339005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,1320817.5477935788,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,183297.2697839355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,3.259424463834802E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,1202987.2685528211,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,12442.767387695312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,8876617.637278935,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,630488.4569238282,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,594767.1436191814,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,86597.4475579834,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,49416.720363769535,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,277589.3709813137,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,10667.662658691406,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,7584948.195019148,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,1.185548789201976E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,6474643.558306952,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,2254956.612041044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,105626.08182437671,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,4398.239858398438,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,78056.62286376953,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,47077.51996276855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,963331.0132980503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,775022.4743440638,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,46.0,45278.908935546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,47.0,410727.737487434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,48.0,88364.71336914062,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,49.0,1.0667593440637354E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49,50.0,297522.71372741694,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50,51.0,7123.3790283203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51,52.0,5026620.011431289,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52,53.0,206622.57016052247,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53,54.0,5310.6103515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,55.0,426134.6069793701,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55,56.0,9559308.818705907,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56,57.0,5248467.961574285,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,58.0,344331.4205895997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58,59.0,71119.80280935249,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59,60.0,1778.4710083007812,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60,61.0,293277.2014366,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,62.0,9012860.84802439,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62,63.0,88312.05924072266,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63,64.0,207434.9257989502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_64,65.0,116398.0109136963,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_65,66.0,634687.5283011043,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_66,67.0,151278.58238769532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_67,68.0,1.0253318055045646E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_68,69.0,2639.2977099609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_69,70.0,474699.8570343019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_70,71.0,4442.18896484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
