system:index,ID,sum,.geo
1_0,1.0,5.9264056777299E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,7.045709570361063E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,4.0228677809273636E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,4.972020981630623E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,6.294825697218571E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,5.3399747202982235E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,5.931087513914093E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,2.3186666022463608E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,7.056523727816672E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,6.006115554854356E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,5.657735891194546E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,6.524878547774532E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,7.029131952488273E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,4.7365673825778854E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,4.273444468154608E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,6.386934677648321E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,7.006355769951627E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,6.134813101678903E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,4.634618703610715E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,5.0365963024569523E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,6.187478558336045E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,6.35477427518931E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,6.93813403737821E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
