system:index,ID,sum,.geo
1_0,1.0,5817210.7000551205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,36470.84942626953,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,3.345728775865239E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,895784.7493823882,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,1173584.6629034416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,3.0112705053312782E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,5552131.701740187,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,4030950.4435244277,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,382937.75152771,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,4987797.913384364,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,1.0868573658202747E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,2148872.4742123154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,8153872.520878479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,1.1347912749530772E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,4169465.367944375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,1.2322010920838865E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,17632.747217407225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,6056457.167698696,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,1517558.6429095864,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,550526.0532550474,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,8167876.331909923,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,1437649.6327867603,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,6425166.323852333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,15875.238489990235,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,1763037.746228992,"{""type"":""MultiPoint"",""coordinates"":[]}"
