system:index,ID,sum,.geo
1_0,1.0,1.2595744137043358E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,2.3207156863248578E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,3.019012443593567E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,2.886118297711672E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,1.593469095876695E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,2.922392818544171E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,2.9732461427998996E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,3.023201792110396E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,2.028264721395949E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,6.4976186121980056E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,2.692842946599063E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,3.0214952603375596E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,1.9791125168064073E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,2.996365049974479E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,2.985709939343277E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,3.020336862065343E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,3.025315177004918E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,2.745898298372676E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,1.3233371695161663E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,2.976782818027231E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,3.007833598380289E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
