system:index,ID,sum,.geo
1_0,1.0,1779.0012182617188,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,557124.4983417201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,1.6026656827189185E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,65488.77360351564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,2961515.733697401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,203801.65294311513,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,18709.49481201172,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,5000598.030373694,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,2681.9248657226562,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,32021.767943725583,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,8006.968440551758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,4657272.914138174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,141826.18628788483,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,34130.9039050293,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,32931.25157470703,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,892.5187377929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,11612.047239379883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,20123.366966552734,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,369631.41438720725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,1787.724609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,640629.6165600586,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,1770.0036822509765,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,2463865.1402009567,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,207298.3711517334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,215978.0417449951,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,3539.6910528564454,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,3511.321522216797,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,2833742.1805947125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,8043.591125488281,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,5363.701416015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,9827.659118652344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,9564.903093872072,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,1785.916015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,453081.61815490725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,849.2099517822265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,1784.0849609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,191678.1740935561,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,46.0,16912.070618286132,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,47.0,1694741.570620252,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,48.0,4049204.7050506873,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,49.0,14168.380962524414,"{""type"":""MultiPoint"",""coordinates"":[]}"
