system:index,ID,sum,.geo
1_0,1.0,2.3570853235435927E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,8.384161056963784E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,1.835149741735225E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,1.4631095623097742E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,2.13120978476428E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,2.8415804886713123E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,2.757053858141998E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,2.4843374155604511E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,1.8894120668108103E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,7.66958713240781E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,2.2349435813734585E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,2.537350074041679E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,9.975713217562315E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,1.7295394978653917E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,2.0468888872524393E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,1.612132662390764E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,2.203907380383417E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,2.7837412973022354E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,6.149318519620365E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,1.8655842467522585E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,2.070759198730833E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,2.765902010621248E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,2.8432561338735265E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,2.2470624146693662E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,4.485283105900261E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,2.849884972489084E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,1.6941240846128163E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,2.7109288683507645E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,2.740641612047836E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,6.789519453773215E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,2.836404222240055E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,7.186612997886352E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,1.2225343206280011E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,2.1168185015242052E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,1.8868056685809267E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,2.8547103610671556E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,2.882695172367968E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,2.9012625390465045E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,2.120578235722192E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,46.0,7.370690736635734E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,47.0,8.883075390322825E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,48.0,1.581701859551755E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,49.0,2.6313221879698697E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49,50.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50,51.0,2.9118618637161034E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51,52.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52,53.0,2.680563674053693E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53,54.0,2.910852513038513E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,55.0,1.3759970918500417E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55,56.0,2.776790779877986E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56,57.0,2.8601498905623275E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,58.0,2.9084884053042054E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58,59.0,1.4161953123668337E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59,60.0,1.755959795857163E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60,61.0,1.4748995730996472E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,62.0,2.3233771892353547E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62,63.0,1.504327935384547E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63,64.0,1.6975834736498564E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_64,65.0,1.9777826842858762E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_65,66.0,1.8926809941035816E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_66,67.0,2.883795891414654E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_67,68.0,1.4944069287282068E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_68,69.0,2.361499519422385E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_69,70.0,2.0668722302634755E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_70,71.0,2.2584733031794494E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_71,72.0,2.8888974424212974E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_72,73.0,2.6757344720875043E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_73,74.0,1.7187130367268157E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_74,75.0,2.181465550705213E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_75,76.0,2.910981630710597E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_76,77.0,1.9648371589450043E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_77,78.0,2.6195374091724557E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_78,79.0,7.528687916953109E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_79,80.0,2.804808973609583E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_80,81.0,2.9010604774220765E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_81,82.0,1.470023007120635E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_82,83.0,2.8087958910690826E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_83,84.0,1.6320627810505727E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_84,85.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_85,86.0,1.719171930517946E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_86,87.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_87,88.0,2.7956632838627267E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_88,89.0,2.9034056043744797E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_89,90.0,2.283326385531842E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_90,91.0,3.744015426327977E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_91,92.0,2.6906767295051384E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_92,93.0,2.6806424446968484E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_93,94.0,1.7714705290157175E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_94,95.0,2.6634103115941656E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_95,96.0,2.3022087185673591E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_96,97.0,1.5159625877403337E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_97,98.0,2.848258578317315E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_98,99.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_99,100.0,2.868619073233988E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_100,101.0,1.591925784735777E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_101,102.0,2.781026964892787E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_102,103.0,1.4286538184980887E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_103,104.0,1.3081614927775988E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_104,105.0,1.2365022478738762E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_105,106.0,6.725002683777782E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_106,107.0,2.727669855028832E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_107,108.0,2.805105339250605E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_108,109.0,2.898564745087609E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_109,110.0,1.7804953405984372E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_110,111.0,2.4039452103042996E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_111,112.0,1.3961542538836133E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_112,113.0,1.633639842067115E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_113,114.0,4.1187407480077565E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_114,115.0,1.9671117281061387E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_115,116.0,6.970475824164258E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_116,117.0,1.796952293942652E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_117,118.0,1.7748922225119123E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_118,119.0,1.9548567969716236E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_119,120.0,3.623787799041255E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_120,121.0,2.775663731288541E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_121,122.0,2.347772326891945E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_122,123.0,2.912534338264929E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_123,124.0,2.7405326130831045E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
