system:index,ID,sum,.geo
1_0,1.0,3047110.2696552696,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,273424.4394610595,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,5274539.986410808,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,2045317.4538632822,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,3422057.5259519764,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,308428.53462097165,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,277258.04912787944,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,2906478.893723291,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,3424754.8672080757,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,35015.49536254883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,3259808.3782314095,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,8216581.060383923,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,1989473.4631239525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,2154462.626955988,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,8649623.188421322,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,1705219.428737873,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,2983992.0436943136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,248144.38141723632,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,628034.0168334892,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,2822912.2272443576,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,570556.1450362604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,91607.18812143363,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,62342.65272583008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,1405001.9447589063,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,40922.56839189597,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,846019.1739433348,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,4699123.228402239,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,574683.9238316439,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,197927.30676879882,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,95242.92801811668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,49069.437331696165,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,150921.25149740535,"{""type"":""MultiPoint"",""coordinates"":[]}"
