system:index,ID,sum,.geo
1_0,1.0,7.209013544034085E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,6.147758692997831E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,7.223204891334084E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,7.219050712763932E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,3.318485523886487E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,7.09285269314814E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,7.216618480587171E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,7.178174090800325E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,6.884420432293786E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,7.196134238517215E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,7.218312031791953E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,7.162486386449815E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,7.156375247125189E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,7.027608308048992E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,4.831307591943742E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,7.213464209349884E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,7.028314265984217E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,7.171976202570684E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,2.957740838789245E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,5.4290693368722364E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,4.770115010037584E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,4.263897214339122E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,7.209211498959032E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,7.222219691834773E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,7.210203658182417E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,7.146752288055239E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,7.138953700993205E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,3.126307363450062E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,7.156500897008058E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,7.067702093401126E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,7.168816266298728E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,7.028374468985586E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,4.582593233921985E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,4.3489344290734065E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,7.219227593378909E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,7.206546461594144E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,7.206882111298037E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,6.383097766035056E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,3.2993974342507553E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,7.017357014480597E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,7.092276167462339E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,6.891626510697465E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,7.03861431841866E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,1.1401059558484961E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,7.08624326240798E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,46.0,6.996763164922976E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,47.0,5.8845312549317E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,48.0,7.22035680239423E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,49.0,5.985635473402995E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49,50.0,7.035406115189476E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50,51.0,7.157878875969427E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51,52.0,7.179957812232305E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52,53.0,6.431773083650042E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53,54.0,6.767855496306417E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,55.0,6.674106342069507E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55,56.0,7.171208169481857E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56,57.0,7.198595436193222E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,58.0,5.953132999104625E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58,59.0,7.147215494281603E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59,60.0,5.633322292061777E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60,61.0,1.931554367136878E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,62.0,7.215291659249226E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62,63.0,7.165326674165293E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63,64.0,7.088507255090805E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_64,65.0,6.677823634906423E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_65,66.0,7.087809768487324E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_66,67.0,6.526703049708405E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_67,68.0,7.077484761855372E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_68,69.0,6.927012961564007E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_69,70.0,6.924951554700878E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_70,71.0,7.081586400464162E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_71,72.0,7.203807703537729E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_72,73.0,7.086958937967414E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_73,74.0,2.5578408382222527E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_74,75.0,6.820148135670127E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_75,76.0,6.590864141317426E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_76,77.0,7.15435782153174E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_77,78.0,5.71352156511688E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_78,79.0,5.286805210691142E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_79,80.0,7.152628375463406E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_80,81.0,7.1985756004884E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_81,82.0,7.061805463747934E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_82,83.0,4.500609133392844E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_83,84.0,7.156163554912697E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_84,85.0,2.976068895408119E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_85,86.0,6.803379580713565E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_86,87.0,7.206579791705986E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_87,88.0,7.18946281566257E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_88,89.0,6.511318255379777E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_89,90.0,7.206419364766364E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_90,91.0,7.134548850340762E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_91,92.0,7.0593819099222E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_92,93.0,6.758101755689124E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_93,94.0,6.237511215741109E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_94,95.0,6.345656220344452E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_95,96.0,6.395597508728179E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_96,97.0,7.223187754567219E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_97,98.0,6.751894606173689E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_98,99.0,6.947046642942842E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_99,100.0,7.144295301003337E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_100,101.0,7.212828160529758E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_101,102.0,7.199329720021857E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_102,103.0,5.089616972840892E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_103,104.0,7.221423119357293E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_104,105.0,7.216217266958141E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_105,106.0,7.114626761527355E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_106,107.0,5.710115462698977E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_107,108.0,7.217807823719194E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_108,109.0,1.7740989541829142E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_109,110.0,7.223330544595805E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_110,111.0,6.664190981421341E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_111,112.0,5.936181445701789E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_112,113.0,5.680553911849718E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_113,114.0,7.194123610620749E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_114,115.0,7.2211393404819E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_115,116.0,2.829324845384331E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_116,117.0,6.82932919417624E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_117,118.0,7.130560543187866E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_118,119.0,7.214324266428548E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_119,120.0,7.172493837693763E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_120,121.0,6.735226358736975E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_121,122.0,7.058910337507389E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_122,123.0,7.107261118042617E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_123,124.0,7.220565341297202E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_124,125.0,7.217811298032347E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_125,126.0,5.87010307193768E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_126,127.0,7.201604544860582E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_127,128.0,7.190990298043927E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_128,129.0,5.770534924403347E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_129,130.0,7.202616715322801E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_130,131.0,7.196055150916225E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_131,132.0,6.736569402572584E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_132,133.0,7.205317353230456E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_133,134.0,7.192707968241227E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_134,135.0,1.5040115830969447E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_135,136.0,7.212670633837003E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_136,137.0,5.829681510709901E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_137,138.0,3.085962138352036E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_138,139.0,7.016639639119961E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_139,140.0,7.19654378127287E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_140,141.0,6.51446390947924E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_141,142.0,6.967320316850138E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_142,143.0,6.78806483316797E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_143,144.0,7.155049319237413E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_144,145.0,7.169732365466584E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_145,146.0,7.091075658684149E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_146,147.0,7.22257232932509E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_147,148.0,6.23035247609438E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_148,149.0,7.078253025017188E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_149,150.0,7.10880567444669E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_150,151.0,6.860164955652171E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
