system:index,ID,sum,.geo
1_0,1.0,3527.21859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,1.746821916225127E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,7918.4068603515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,2668.9501342773438,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,8966086.23308446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,33415.97523620606,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,2655.7291870117188,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,38940.368488386564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,5721393.81475763,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,110623.95598144531,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,888.4725952148438,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,13257.33349609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,8855.56787109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,3068657.1623223466,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,1.285442560998801E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,10409.257391357423,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,738052.6944335937,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,9472.557656250001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,10885.883360595704,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,2714557.704645385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,4831421.767531341,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,21319.084378051757,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,890.0515747070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,15121.564819335938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,28034.045872192382,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,374973.9234238207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,180766.95445800782,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,890.2577514648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,949848.6924438477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,61724.11644200942,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,5539805.62617354,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,172942.6219769287,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,14941.907290649415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,53620.81066345215,"{""type"":""MultiPoint"",""coordinates"":[]}"
