system:index,ID,accessibility,accessibility_walking_only,aspect,be75,hillshade,slope,.geo
1_0,1.0,2159.4745800413516,2745.5849296519464,174.93087967818744,160.4197865641566,180.2850221362798,1.512664552166039,"{""type"":""Polygon"",""coordinates"":[[[-68.70007819025017,-6.858694289391394],[-68.71936477144003,-6.861422408978903],[-68.73711676275586,-6.869389698925502],[-68.75192153501605,-6.881962203848759],[-68.76260073149946,-6.898139470211856],[-68.76830403212327,-6.916634083892379],[-68.76857691726664,-6.935974056018948],[-68.76339701384723,-6.954619935886148],[-68.75317607943713,-6.971087347001503],[-68.7387274031124,-6.984065194239486],[-68.72120116199574,-6.99252011732859],[-68.70199284859733,-6.995778847945258],[-68.68263206329065,-6.9935818826564145],[-68.66466056368914,-6.986104173620733],[-68.64950933980846,-6.973941179131608],[-68.63838456354752,-6.958061391815084],[-68.6321715361559,-6.939729146607668],[-68.63136429185421,-6.920403884677001],[-68.63602643715153,-6.901623921659723],[-68.64578629084642,-6.884883990769314],[-68.65986664806273,-6.871516309995637],[-68.67714674420162,-6.862584625086828],[-68.69625145682998,-6.858799635178233],[-68.70007819025017,-6.858694289391394]]]}"
1_1,2.0,2700.9658202164223,5567.857415746755,166.68944548399128,79.10657223187567,180.14398963709377,1.3184954562829836,"{""type"":""Polygon"",""coordinates"":[[[-65.82422073884004,-6.367398256600517],[-65.84348814849868,-6.370126403994202],[-65.86122244900653,-6.378093768685341],[-65.87601238817335,-6.390666371974285],[-65.88668078266026,-6.406843729635327],[-65.89237819105168,-6.42533839905794],[-65.8926506018747,-6.444678373972509],[-65.88747572702793,-6.46332420279769],[-65.8772649643965,-6.479791524965687],[-65.86283081465685,-6.4927692731102375],[-65.84532229392343,-6.501224117890502],[-65.82613345496183,-6.504482815428414],[-65.80679230338394,-6.502285872617565],[-65.78883898789678,-6.494808234599319],[-65.77370301792084,-6.482645337497409],[-65.76258934127335,-6.4667656435390635],[-65.7563823921465,-6.448433458523878],[-65.7555757585921,-6.429108204838408],[-65.76023304558983,-6.410328195552129],[-65.76998300047471,-6.393588178321433],[-65.78404922982138,-6.3802203980783805],[-65.80131209148298,-6.371288631605091],[-65.82039780780504,-6.367503603482036],[-65.82422073884004,-6.367398256600517]]]}"
1_2,3.0,337.85620176760955,2051.3295820816725,199.67300397109673,272.8364304845764,181.27293144909422,1.4751953254266215,"{""type"":""Polygon"",""coordinates"":[[[-73.8161948491893,-10.301264158985937],[-73.8356571771885,-10.303992081877142],[-73.85357125100998,-10.311958843086092],[-73.86851176349698,-10.324530652157991],[-73.87928960564848,-10.340707272637273],[-73.88504647018503,-10.35920149193396],[-73.88532329315747,-10.378541444278538],[-73.88009704923043,-10.397187685193122],[-73.8697828934393,-10.413655725549175],[-73.85520138257878,-10.42663427383937],[-73.8375133010159,-10.435089750953109],[-73.81812723328065,-10.43834871560101],[-73.79858724900654,-10.436151591280806],[-73.78044970057711,-10.42867337980421],[-73.76515903327632,-10.416509696328902],[-73.75393258948012,-10.400629248560142],[-73.74766364492403,-10.382296577567184],[-73.74685041458035,-10.362971257364865],[-73.75155664362904,-10.34419162172042],[-73.76140684185651,-10.327452301649013],[-73.77561644440587,-10.314085324539521],[-73.79305441405677,-10.305154216614582],[-73.81233325595508,-10.301369497029214],[-73.8161948491893,-10.301264158985937]]]}"
1_3,4.0,2639.775111541536,2992.147723216378,182.66031688540372,125.25192726984461,180.86547512125046,1.3852682959099842,"{""type"":""Polygon"",""coordinates"":[[[-68.19523665924174,-5.08498901451994],[-68.21446085145568,-5.087717234254963],[-68.23215525726785,-5.095684793402475],[-68.24691171934201,-5.108257652597704],[-68.25755570014238,-5.124435247772699],[-68.26323975033631,-5.1429300622034635],[-68.26351102305993,-5.162270044361519],[-68.25834744305725,-5.180915740391783],[-68.2481596142037,-5.197382831158647],[-68.23375826670642,-5.210360321512285],[-68.21628979346745,-5.218814962575276],[-68.19714498387863,-5.22207357406072],[-68.17784822337772,-5.219876689725037],[-68.15993600791369,-5.2123992364554415],[-68.14483448956089,-5.200236592704936],[-68.13374584822873,-5.184357141621386],[-68.12755256792694,-5.1660251132047375],[-68.12674724615177,-5.146699880978986],[-68.13139350535614,-5.127919751330021],[-68.14112107894505,-5.111179509484141],[-68.15515541590597,-5.097811470464334],[-68.17237940722966,-5.088879491792234],[-68.19142229922149,-5.085094364249415],[-68.19523665924174,-5.08498901451994]]]}"
1_4,5.0,816.0015602619668,2010.6025806287319,170.85809284734478,233.50475419859615,180.16528470006148,1.7099958613833446,"{""type"":""Polygon"",""coordinates"":[[[-71.60932463754114,-7.660975129011343],[-71.62864566607625,-7.66370320306625],[-71.64642943725882,-7.671670370618158],[-71.66126084352416,-7.684242714465468],[-71.67195942014303,-7.7004198313238925],[-71.67767327342104,-7.7189143537212175],[-71.67794697941676,-7.738254321277884],[-71.67275802205774,-7.756900284725206],[-71.66251881286904,-7.773367841494977],[-71.64804406061319,-7.786345851004583],[-71.63048602576843,-7.794800902330497],[-71.61124277964295,-7.79805968711645],[-71.59184677658874,-7.7958626850179575],[-71.573842653295,-7.788384859685557],[-71.55866405111583,-7.776221705718477],[-71.54751933749036,-7.760341765524049],[-71.54129537359248,-7.742009421752216],[-71.54048700225925,-7.722684146324087],[-71.54515784228865,-7.703904259077838],[-71.55493545162622,-7.687164469574308],[-71.56904117340338,-7.6737969516842774],[-71.58635222750246,-7.664865400338041],[-71.60549107177224,-7.661080473005646],[-71.60932463754114,-7.660975129011343]]]}"
1_5,6.0,1168.6963265959812,3027.9915157944847,152.8448699153373,201.27115781928484,180.29016610663646,0.5781399009827142,"{""type"":""Polygon"",""coordinates"":[[[-68.31002204113322,-12.923096523574214],[-68.32966831936801,-12.925824293830763],[-68.34775196017503,-12.933790644735247],[-68.36283433729419,-12.946361913797789],[-68.37371509132738,-12.962538033007657],[-68.37952761564982,-12.981031946177096],[-68.37980819207854,-13.000371883098405],[-68.37453322633978,-13.019018404164004],[-68.36412151941502,-13.03548693285588],[-68.34940127130602,-13.048466025255182],[-68.33154433661392,-13.056921932384885],[-68.31197290767358,-13.060181078684417],[-68.29224606413965,-13.05798383092614],[-68.27393529605524,-13.050505229468778],[-68.25849902663592,-13.03834101124332],[-68.24716624458526,-13.022460050906615],[-68.24083859577726,-13.004127049512984],[-68.24001875245762,-12.984801684157006],[-68.24477071680468,-12.96602230263991],[-68.25471511895542,-12.949283456633756],[-68.26905976110544,-12.935917025603004],[-68.2866628691507,-12.926986365424916],[-68.3061239581556,-12.92320185560858],[-68.31002204113322,-12.923096523574214]]]}"
1_6,7.0,466.9424762733845,1442.1895144580828,171.49606060029436,162.54656065936447,180.37904514539647,1.244428752114187,"{""type"":""Polygon"",""coordinates"":[[[-66.81813946416749,-9.108318137627348],[-66.8375325923178,-9.111046129092133],[-66.85538286025202,-9.119013074634536],[-66.87026996105338,-9.131585126304477],[-66.88100901876736,-9.147761971967467],[-66.88674486082381,-9.1662563287715],[-66.88702019535913,-9.185596288024568],[-66.88181223468172,-9.204242403071486],[-66.87153478092802,-9.220710224049142],[-66.85700552313541,-9.233688527917602],[-66.8393810745126,-9.242143811867502],[-66.82006488071092,-9.245402694918399],[-66.80059533682827,-9.24320562604589],[-66.78252307192221,-9.23572758974857],[-66.76728725106898,-9.223564146489151],[-66.75610082597898,-9.207683928981972],[-66.74985392850503,-9.189351406428338],[-66.74904311373959,-9.170026106530425],[-66.75373205340331,-9.151246356740442],[-66.76354673900549,-9.1345068237089],[-66.77770549176394,-9.121139601276502],[-66.79508131670768,-9.112208292197572],[-66.81429159735956,-9.108423478370232],[-66.81813946416749,-9.108318137627348]]]}"
1_7,8.0,272.3602145562373,801.821601333112,168.29021337270459,144.89460147289375,180.26697954531065,1.439206337888202,"{""type"":""Polygon"",""coordinates"":[[[-65.71023214368886,-10.193118203613412],[-65.7296878300665,-10.195846132741622],[-65.74759578048993,-10.203812910716403],[-65.76253116803184,-10.21638474185369],[-65.77330528994362,-10.232561382814716],[-65.77906013941434,-10.251055614618823],[-65.77933682191343,-10.270395567592278],[-65.7741123341777,-10.2890417970589],[-65.76380170081298,-10.305509817461356],[-65.74922520313939,-10.318488343519826],[-65.73154322539503,-10.32694380306393],[-65.7121638595106,-10.330202760289971],[-65.69263063136381,-10.328005641013151],[-65.67449934492376,-10.320527445470386],[-65.65921393937595,-10.308363783844296],[-65.64799133598652,-10.292483357019083],[-65.64172450859775,-10.274150699527157],[-65.64091151234425,-10.254825381171125],[-65.64561608463161,-10.236045735144097],[-65.6554628767646,-10.219306395702679],[-65.66966760042745,-10.205939396279918],[-65.68709960626576,-10.197008270059234],[-65.7063718678992,-10.193223541902226],[-65.71023214368886,-10.193118203613412]]]}"
1_8,9.0,112.31852666093332,922.5458403615297,161.96827554610576,167.09194839874272,179.92513080916785,1.5039810229138755,"{""type"":""Polygon"",""coordinates"":[[[-65.75806250619648,-9.557533792038093],[-65.77748064653767,-9.560261757737845],[-65.79535397851842,-9.568228634021137],[-65.81026038880185,-9.580800594540854],[-65.82101347133508,-9.596977355597385],[-65.82675691939295,-9.61547166073786],[-65.82703279870961,-9.634811617396714],[-65.82181823360015,-9.65345777973606],[-65.81152751354713,-9.669925683139336],[-65.7969793634666,-9.682904078841911],[-65.77933190481906,-9.69135943536691],[-65.75999044245381,-9.694618349075167],[-65.74049542500393,-9.692421259370034],[-65.72239955276609,-9.684943157254791],[-65.70714390128352,-9.672779623741596],[-65.69594301010653,-9.656899319719926],[-65.68968814700828,-9.638566741393333],[-65.68887646554228,-9.619241433865147],[-65.69357166191875,-9.60046172696103],[-65.70339919010479,-9.583722273943081],[-65.71757632684924,-9.570355143684578],[-65.73497461583466,-9.561423910184633],[-65.75420967804138,-9.557639131766656],[-65.75806250619648,-9.557533792038093]]]}"
1_9,10.0,3061.934919308915,3814.5766816314663,175.22028684711253,165.48104168406948,180.53113340398306,1.6220130662499548,"{""type"":""Polygon"",""coordinates"":[[[-69.13452498525419,-7.107859352942829],[-69.15382184665647,-7.110587458406509],[-69.17158332295703,-7.118554710387379],[-69.18639604585177,-7.131127165346521],[-69.19708102948229,-7.147304385335105],[-69.20278748352433,-7.165798970701089],[-69.2030606174263,-7.185138941410715],[-69.19787801426207,-7.203784847203921],[-69.18765162583937,-7.220252303499629],[-69.17319516454184,-7.23323020107208],[-69.15565942956415,-7.241685163938349],[-69.13644068399505,-7.2449439113574945],[-69.11706938131408,-7.242746934650866],[-69.09908813976901,-7.235269189541682],[-69.08392874170622,-7.223106145584694],[-69.07279801471438,-7.207226310847254],[-69.06658172533422,-7.1888940350659425],[-69.06577414826637,-7.16956876894794],[-69.07043889253603,-7.150788829433457],[-69.08020404877547,-7.134048942399442],[-69.09429197806031,-7.120681312150555],[-69.11158131413822,-7.111749668671627],[-69.1306962128665,-7.107964698173638],[-69.13452498525419,-7.107859352942829]]]}"
