system:index,ID,sum,.geo
1_0,1.0,1.7927666821384254E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,1.7176472793313098E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,1.77183575051758E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,1.773070930736106E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,1.7881134562714714E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,1.3113958312032513E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,1.7933486967353877E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,1.7927733422406605E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,1.410895635518844E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,1.7747613391665488E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,1.7926612418088108E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,8.40742155465146E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,1.5819682594151148E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,1.789065689559489E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,1.5713163588143608E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,1.7920649351854092E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,1.7923621751079068E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,1.7346808237627873E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,1.7373384921279538E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,1.2137040038636136E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,1.1785569641702399E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,1.753608569037313E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,1.7834295903009775E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,1.791628529361413E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,1.7856228969759473E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,1.7935412351385015E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,1.7812356862332442E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,1.7474971555248734E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,1.781211840227444E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,1.7789101866554347E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,1.783492010901066E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,1.6914929687062716E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,1.7926935686818573E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,1.3009599017375693E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,1.7934015401687175E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,1.782297414552251E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,1.7915162285142273E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,1.766858196563213E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,1.7810831728000674E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,1.7627290456336427E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,1.7837058292328632E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
