system:index,ID,sum,.geo
1_0,1.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,964436.2310785324,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,11541.440741577146,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,1760.1605224609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,3711423.1348414132,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,345886.3892062032,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,2442268.243514065,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,219189.3888934325,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,1248947.9637085125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,1969.769913736979,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,113773.6033331299,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,16606.838562622073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,1909006.1091974492,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,204534.3764469353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,342451.7014710286,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,17714.540740966797,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,122184.59251220705,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,237189.76387145979,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,1367677.599138592,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,1335567.6527455715,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,100762.69978454597,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,15130.008178710938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,461372.83628541784,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,17731.460848999024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,9463.5544921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,28946.829943847653,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,508611.46049560554,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,875.2034912109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,133188.26050964356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,52490.99341335401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,46.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,47.0,178132.21544311527,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,48.0,1735066.7331186791,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,49.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49,50.0,8848.640535888673,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50,51.0,208723.41048788623,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51,52.0,1876977.4436857563,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52,53.0,75058.40246032715,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53,54.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,55.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55,56.0,47404.33833312987,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56,57.0,7739.706599731445,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,58.0,103897.33903442383,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58,59.0,563759.0487544409,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59,60.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60,61.0,395849.8767287191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,62.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62,63.0,1617649.5927550958,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63,64.0,4443.848815917969,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_64,65.0,927149.5881301338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_65,66.0,8902.082397460938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_66,67.0,538076.6621790746,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_67,68.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_68,69.0,2739376.556984272,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_69,70.0,421922.09687812405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_70,71.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_71,72.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_72,73.0,1735.6466821289064,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_73,74.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_74,75.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_75,76.0,281116.55189924873,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_76,77.0,20404.649677404068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_77,78.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_78,79.0,345790.17981562595,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_79,80.0,937014.060978528,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_80,81.0,4024579.7610478075,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_81,82.0,817511.8661846494,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_82,83.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_83,84.0,2287960.652862851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_84,85.0,372395.2780423155,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_85,86.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_86,87.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_87,88.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_88,89.0,33147.661473999025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_89,90.0,2918920.3972584917,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_90,91.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
