system:index,ID,sum,.geo
1_0,1.0,9.933417001274168E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,8.253706729187635E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,9.34290928185423E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,9.709166275641575E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,9.367603274836531E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,9.957055182834721E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,9.937872815338132E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,9.089316585980574E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,9.942800160266737E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,9.944624696396184E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,8.654949955998578E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,9.753957516385102E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,9.900197273706343E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,6.794897537400255E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,9.693493300619866E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,9.538397158763862E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,9.525975257224684E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,9.912105027510877E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,9.917803953291686E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,9.957341010633752E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,9.954570475715666E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,8.975122331526115E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,9.96631428106102E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,4.631428803837372E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,9.941591658651643E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,9.703288068274747E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,7.885883001819509E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,3.489829952105238E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,9.053804870440332E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,7.98840251996629E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,9.075173877795236E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,6.456999325035578E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,6.249473070234237E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,8.118081244674386E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,9.960045487063398E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,9.671563098994482E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,9.938732372645391E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,9.969069371113747E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,8.101378789989598E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,9.83226146301898E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,8.084360250965036E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,9.859065664481683E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,9.02754573750273E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,9.480855237608202E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,7.967202216893795E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,46.0,9.959369334640937E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,47.0,9.621105274569844E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,48.0,9.861901232940754E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,49.0,9.959369117571704E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49,50.0,4.0654661720407677E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50,51.0,9.612891439384937E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51,52.0,9.938009025695258E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52,53.0,9.849997059828742E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53,54.0,9.723556553037587E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,55.0,9.956321199102675E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55,56.0,7.943986746191757E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56,57.0,9.856922762521656E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,58.0,8.156458383431379E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58,59.0,9.70487279108767E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59,60.0,4.5720658777056825E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60,61.0,6.94483115159288E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,62.0,9.958208075034847E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
