system:index,ID,sum,.geo
1_0,1.0,16607.930349731443,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,827679.6670691625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,2720180.645597453,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,4939729.816416515,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,1330539.3107932517,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,1.351291291769443E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,7715051.274439498,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,98441.68354614255,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,1895433.6598458327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,2599520.2789996564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,1.9051367229095586E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,268963.5209479238,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,6567787.709831713,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,9156571.80266444,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,7745750.8952893615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,2.5799364642472684E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,61637.92845458985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,77508.40479064941,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,1216755.029405149,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,4716757.957213574,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,6198.952880859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,5146452.96120819,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,6495760.249675467,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,8050681.162059093,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,8027393.971711112,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,179358.29895853682,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,1.2064225432073116E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,2400669.012708105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,1.3225959922780616E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,6822195.2426662855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,660367.7484906007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,3.1135349496961102E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,252868.25461044014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,46269.70864624024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,1.3584083713825813E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,7869640.545659723,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,3781966.1034717024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,746259.2796561567,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,1338136.0786612744,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,1484930.3663417436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,1.5835818470716964E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,46.0,143069.48640747071,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,47.0,1311601.8046936046,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,48.0,2.2730407794681754E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,49.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49,50.0,425223.6500515975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50,51.0,517864.14163208,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51,52.0,216135.95153137206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52,53.0,3.6849318312989116E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53,54.0,461019.5406314194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,55.0,3446.318825683594,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55,56.0,2.596987472925954E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56,57.0,611553.1811737058,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,58.0,4975147.729333736,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58,59.0,692493.5175543212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59,60.0,1.0515070243298765E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60,61.0,1.2749974930262446E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,62.0,49573.0835736084,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62,63.0,86537.49827575684,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63,64.0,491411.0271813964,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_64,65.0,995977.8370697496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_65,66.0,7006378.915920954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_66,67.0,389814.86889792053,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_67,68.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_68,69.0,2.1846489879565075E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_69,70.0,183390.4418670654,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_70,71.0,7816179.527284678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_71,72.0,8888437.060992619,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_72,73.0,69706.7536303711,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_73,74.0,76060.96124267578,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_74,75.0,542705.4123095702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_75,76.0,1003420.1314011997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_76,77.0,1.594479742118515E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_77,78.0,5.7578398953182235E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_78,79.0,8064112.132709732,"{""type"":""MultiPoint"",""coordinates"":[]}"
