system:index,ID,sum,.geo
1_0,1.0,1.6694655382300475E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,1.6706464522613856E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,6.603389221486743E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,1.495850334049212E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,1.6777099585041055E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,8.954753509676902E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,1.617523380370302E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,1.4462243536081803E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,1.7057869821970972E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,1.49152968572329E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,1.3530492757635042E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,2.3815044091120183E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,1.6611248088190284E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,1.6633554415452346E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,1.6907383199285322E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,1.691537714914089E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,1.5251562845323718E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,1.259291176075304E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,1.695459680493985E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,1.1766558643373777E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,1.549739775885785E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
