system:index,ID,sum,.geo
1_0,1.0,20447.722165527346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,842033.5463957752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,177687.46508544922,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,2491695.935306361,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,13175.053129882812,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,172648.56051839195,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,3431616.0481319595,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,3534314.4495101115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,4457.360168457031,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,571801.4378426229,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,380716.7173286205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,1889471.4355201488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,767707.4521104337,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,57202.551752534746,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,83397.57974092371,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,298250.4491084059,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,15170.674769287109,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,2665.926184692383,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,1451823.1642352594,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,4966865.728057599,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,49623.50107604981,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,48791.7916607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,2088839.9761700814,"{""type"":""MultiPoint"",""coordinates"":[]}"
