system:index,ID,accessibility,accessibility_walking_only,aspect,be75,hillshade,slope,.geo
1_0,1.0,979.5303257689798,2786.1820950023216,154.8949684432794,137.8617802515507,180.0063313876679,1.0545630540846347,"{""type"":""Polygon"",""coordinates"":[[[-75.16003824465221,-6.493302481426806],[-75.18952902510439,-6.497476838637271],[-75.2166737198797,-6.509667829805201],[-75.23931256605542,-6.528905586376313],[-75.25564374428737,-6.55365948912987],[-75.26436672803277,-6.581959787437599],[-75.26478597616001,-6.611554185909481],[-75.25686666550496,-6.640086997941238],[-75.24123791536023,-6.6652866470238],[-75.21914310616846,-6.68514659612297],[-75.19234112053346,-6.698085269532892],[-75.16296629713986,-6.7030721743832435],[-75.13335825514825,-6.6997101098432585],[-75.10587522393094,-6.688266861547787],[-75.08270587668994,-6.669653833351454],[-75.065694790454,-6.645353334338907],[-75.05619552762154,-6.617300362355839],[-75.0549630601457,-6.587728365875141],[-75.06209404333849,-6.558991328271954],[-75.07701957501074,-6.533376377117387],[-75.09855087452071,-6.512921837184175],[-75.12497412512957,-6.4992551749295],[-75.15418686680476,-6.493463673188504],[-75.16003824465221,-6.493302481426806]]]}"
1_1,2.0,717.4676566623027,891.3186927740073,173.73927990594393,256.1970566184566,180.2448244821079,2.4381890237086536,"{""type"":""Polygon"",""coordinates"":[[[-68.74766578746171,-10.349107151299053],[-68.77745211481336,-10.3532809930256],[-68.80486968209607,-10.365470598485263],[-68.82773759171964,-10.384706531268208],[-68.84423592899999,-10.409458741020208],[-68.8530505084138,-10.437758005339958],[-68.85347776316736,-10.46735235162142],[-68.8454813454587,-10.49588610976168],[-68.82969574919825,-10.521087408139582],[-68.80737643938036,-10.54094919496285],[-68.78030025661936,-10.553889320777044],[-68.75062391452943,-10.558876839172639],[-68.72071187169753,-10.555514357708732],[-68.69294742207877,-10.544069792226674],[-68.66954226271021,-10.525454957907458],[-68.65235992643002,-10.50115272774457],[-68.64276729698827,-10.47309863992924],[-68.64152607013159,-10.443526491045422],[-68.64873271360804,-10.414790311814539],[-68.66381151741092,-10.389176961794702],[-68.68556105944359,-10.368724266156566],[-68.7122501912526,-10.355059116067146],[-68.74175579750627,-10.349268322767259],[-68.74766578746171,-10.349107151299053]]]}"
1_2,3.0,512.6552188976948,1446.4769211753085,214.9419698237763,908.1734725851977,188.36740270110053,12.037001141733475,"{""type"":""Polygon"",""coordinates"":[[[-73.83857344013023,-11.838034628092545],[-73.86851199454716,-11.842208267611628],[-73.8960700131241,-11.854397329488123],[-73.91905565351833,-11.87363254679712],[-73.93563968520345,-11.898384092317187],[-73.94450095980127,-11.926682950879416],[-73.94493189881793,-11.956277276559067],[-73.93689550501608,-11.984811405793405],[-73.92102914796439,-12.010013351225506],[-73.89859456032413,-12.0298758591031],[-73.87137779395215,-12.042816554821549],[-73.84154697326285,-12.047804313971607],[-73.81147919008454,-12.044441668906776],[-73.78357048313016,-12.032996586573805],[-73.76004428243354,-12.014381043588932],[-73.74277382997298,-11.990078134241061],[-73.73313289888523,-11.962023608730737],[-73.73188674531494,-11.932451400179211],[-73.73913187398404,-11.903715557817703],[-73.7542891963655,-11.878102836003826],[-73.77615086343292,-11.857650863895731],[-73.80297681790373,-11.84398630700107],[-73.83263325759546,-11.838195791600329],[-73.83857344013023,-11.838034628092545]]]}"
1_3,4.0,1690.176845387648,1982.1736335318612,167.31134030882632,137.2328556256615,180.15864589320162,1.0950534340936855,"{""type"":""Polygon"",""coordinates"":[[[-72.64902450182035,-3.7903911699024637],[-72.67839023530298,-3.7945658835005003],[-72.70541926022453,-3.806757832666162],[-72.72796062411446,-3.8259968500088544],[-72.74422017389116,-3.8507519229814946],[-72.75290332408125,-3.879052935814395],[-72.75331820200294,-3.9086473700923756],[-72.745430933165,-3.9371795279465793],[-72.72986860276505,-3.9623780369559123],[-72.70786957498623,-3.9822367158921748],[-72.68118504859878,-3.995174385532098],[-72.65193964099325,-4.000160866371541],[-72.62246210237807,-3.996799089959791],[-72.59509968795308,-3.985356751974933],[-72.5720310481753,-3.9667449720775982],[-72.55509261822559,-3.9424456696834267],[-72.54563238671851,-3.914393469167954],[-72.54440269792775,-3.8848215782996296],[-72.551500585035,-3.8560839475860953],[-72.56636031222651,-3.8304678897481605],[-72.58779863584468,-3.810012074891098],[-72.61410911291739,-3.796344367224977],[-72.64319791560547,-3.790552375694488],[-72.64902450182035,-3.7903911699024637]]]}"
1_4,5.0,176.350257672436,346.4311654730944,190.56998189963,780.2545343108702,185.03183223368873,8.529859034008398,"{""type"":""Polygon"",""coordinates"":[[[-76.41253141687493,-8.128630757806244],[-76.44213045613998,-8.132804897629201],[-76.46937514829153,-8.144995304429395],[-76.49209801566155,-8.164232291908428],[-76.50849060852947,-8.188985480752008],[-76.51724736402002,-8.217285343081574],[-76.51766974552669,-8.246879719601639],[-76.5097223094442,-8.275412930636788],[-76.49403609481806,-8.300613275212578],[-76.47185888891454,-8.320473999230027],[-76.44495616985644,-8.333413285063695],[-76.41547052418488,-8.338400448619472],[-76.38575074307586,-8.335038208280947],[-76.35816431242377,-8.32359440457981],[-76.33490839647068,-8.304980614795245],[-76.31783454057339,-8.280679385779665],[-76.30830117398024,-8.252625943228725],[-76.30706568724266,-8.223053882425926],[-76.31422460603936,-8.194317206741006],[-76.32920647610864,-8.16870293075013],[-76.35081784780051,-8.148249168551756],[-76.3773385474703,-8.13458314399071],[-76.40665857091867,-8.12879194100984],[-76.41253141687493,-8.128630757806244]]]}"
1_5,6.0,170.33034615322774,645.8426414634099,165.4354947241428,155.9404288197633,180.23118075288403,1.5422443347163362,"{""type"":""Polygon"",""coordinates"":[[[-75.95618206955618,-5.9683725049636465],[-75.98564334576689,-5.972546931637802],[-76.01276077185011,-5.984738109531663],[-76.03537667769773,-6.003976111848888],[-76.05169105171281,-6.028730242707336],[-76.06040475187295,-6.057030680305223],[-76.06082307354332,-6.086625085773822],[-76.05291138505319,-6.115157770304049],[-76.0372983002006,-6.1403571971620226],[-76.01522600555718,-6.160216898668998],[-75.98845157989527,-6.173155376409751],[-75.95910709530497,-6.178142198604828],[-75.92952964474546,-6.1747801902316635],[-75.90207490762194,-6.163337119387513],[-75.87892922228139,-6.14472433452289],[-75.86193525767307,-6.120424068759162],[-75.8524452544256,-6.092371247141961],[-75.8512135413669,-6.06279927123044],[-75.85833683116537,-6.034062118002108],[-75.87324693826024,-6.008446951125005],[-75.89475636837219,-5.987992162685619],[-75.92115304023734,-5.974325296666244],[-75.9503365419617,-5.968533699459996],[-75.95618206955618,-5.9683725049636465]]]}"
1_6,7.0,2306.256512872044,4971.7964326291585,161.81431557346266,132.16932202412647,179.9845710889293,1.419896851725926,"{""type"":""Polygon"",""coordinates"":[[[-72.09064440902345,-5.110274530852655],[-72.12006289174033,-5.11444907079741],[-72.1471407471196,-5.126640553172757],[-72.16972332853061,-5.1458789562058],[-72.18601324728105,-5.170633459004764],[-72.19471338420819,-5.198934123712893],[-72.19513027275677,-5.228528540572238],[-72.18722958661557,-5.257061017188028],[-72.1716392282271,-5.282260081689437],[-72.14959966135184,-5.302119379486509],[-72.12286534065393,-5.31505753818511],[-72.09356502757561,-5.320044225610315],[-72.06403211834584,-5.31668230881739],[-72.03661856026406,-5.305239527310245],[-72.0135072795765,-5.28662713920713],[-71.99653816666086,-5.262327253773466],[-71.98706155071453,-5.234274677350913],[-71.98583084751907,-5.204702734996808],[-71.99294288008547,-5.1759653932474725],[-72.00783052827393,-5.150349874622557],[-72.0293081806991,-5.129894680968373],[-72.05566627695936,-5.116227482684287],[-72.08480736607358,-5.110435729808255],[-72.09064440902345,-5.110274530852655]]]}"
1_7,8.0,2266.950066090174,2531.000186045426,168.21801175818413,127.96348480144121,180.25125830473988,1.022791488382854,"{""type"":""Polygon"",""coordinates"":[[[-72.49017275869522,-3.9516445548973],[-72.51954409107275,-3.9558192473118474],[-72.54657830330447,-3.9680111395353714],[-72.56912405346827,-3.9872500819414785],[-72.58538684484672,-4.012005085362925],[-72.5940718197751,-4.040306055732547],[-72.59448693090081,-4.0699004878885505],[-72.58659824966024,-4.098432684628347],[-72.57103294316164,-4.1236312613986446],[-72.54902959649168,-4.143490015824147],[-72.52233975573361,-4.156427745119141],[-72.49308848325902,-4.1614142511576215],[-72.46360502965076,-4.158052457622384],[-72.43623715557457,-4.146610065537053],[-72.4131639709931,-4.127998211450421],[-72.39622228027669,-4.103698837935334],[-72.38676031921364,-4.0756465915637765],[-72.38553054143433,-4.046074694412282],[-72.39262995179945,-4.017337098945187],[-72.40749266180026,-3.991721106881411],[-72.42893517267082,-3.9712653678015553],[-72.45525070973083,-3.9575977222730705],[-72.48434506273274,-3.9518057598553655],[-72.49017275869522,-3.9516445548973]]]}"
1_8,9.0,339.3671758166171,2019.4606547101966,172.7848210090391,208.24077434491258,180.4717031631902,1.1008054197650177,"{""type"":""Polygon"",""coordinates"":[[[-73.97445181899857,-10.269278541909552],[-74.00423059539318,-10.273452394420767],[-74.03164119469714,-10.285642028872033],[-74.0545032615232,-10.304877999813584],[-74.07099734333629,-10.329630244990245],[-74.0798096008446,-10.357929530948446],[-74.08023666768182,-10.387523878326654],[-74.07224222985585,-10.416057616674196],[-74.0564606398962,-10.441258880543087],[-74.03414705240894,-10.461120628911917],[-74.00707785065003,-10.474060724333196],[-73.97740918088375,-10.4790482298895],[-73.94750487315879,-10.475685757150325],[-73.91974758730794,-10.464241219231791],[-73.8963484368951,-10.445626422706146],[-73.87917047251433,-10.421324228765613],[-73.86958023650818,-10.39327016429476],[-73.86833924915744,-10.363698018595125],[-73.87554397794523,-10.334961821399913],[-73.89061888195374,-10.30934843787702],[-73.91236285887318,-10.288895703650793],[-73.93904520237088,-10.275230521923861],[-73.96854332665444,-10.269439713802322],[-73.97445181899857,-10.269278541909552]]]}"
1_9,10.0,3178.2459214615465,4419.548464850297,169.71101258569365,171.07013805093365,180.1090879874742,1.5270151472238211,"{""type"":""Polygon"",""coordinates"":[[[-72.60143976411165,-6.233148993339857],[-72.63091560573415,-6.237323384993672],[-72.65804649474416,-6.249514468749185],[-72.68067372856513,-6.2687523471732325],[-72.69699640311326,-6.293506363032894],[-72.70571469201293,-6.321806730408514],[-72.70613347623487,-6.35140113235077],[-72.6982180279711,-6.379933881161577],[-72.68259720930176,-6.405133420054041],[-72.66051379566824,-6.424993246383955],[-72.63372575679607,-6.437931822770501],[-72.60436628507173,-6.442918686635828],[-72.57477372246515,-6.439556649946442],[-72.5473050091773,-6.4281134896409835],[-72.52414763769177,-6.409500582101422],[-72.5071452195645,-6.385200198745482],[-72.49765064761456,-6.357147301320772],[-72.49641856701636,-6.327575315038277],[-72.50354566054756,-6.29883822010142],[-72.51846338735885,-6.273223161980415],[-72.53998361713609,-6.252768498825598],[-72.56639341164579,-6.239101735534666],[-72.59559134845118,-6.233310186457522],[-72.60143976411165,-6.233148993339857]]]}"
