system:index,ID,sum,.geo
1_0,1.0,3.7576424412018955E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,4.0026275017790943E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,3.988030144538151E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,4.186891632723241E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,3.6693545709653527E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,3.756422426969445E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,4.147337468516267E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,4.190760037139665E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,3.8672317561640143E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,4.172356163701854E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,4.1506928216243386E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,4.190340071824682E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,4.017741915760843E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,4.1860130646742815E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,984627.4008173184,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,4.1877847472307473E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,1.101631998741065E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,4.090099071668472E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,4.1976633449929374E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,3.548858684684854E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,4.186934072554911E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,3.419362566951653E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,4.181353425509155E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,4.153162125832942E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,4.194543588346194E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,4.1973031029577756E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,4.170545639067556E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,4.155052215489488E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
