system:index,ID,sum,.geo
1_0,1.0,1922071.4259252907,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,1230553.4160536944,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,718133.7154436519,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,1724901.7011660223,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,3968256.121669488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,3721.5947363281252,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,1083748.7318682023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,5020.090551757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,332659.50341161387,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,1780.0833740234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,22269.928858642576,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,139638.70027117565,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,1773.3999674479169,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,891.6697387695312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,549997.0140515495,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,3191924.8614519713,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,2656.246826171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,168529.07125092158,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,629821.5527440761,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,10602.170258731618,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,6187.6112060546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,50089.328458251955,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,605150.1001361802,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,44741.111612958135,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,44660.82189025879,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,1771.5672607421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,19453.839982299804,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,187478.27604106825,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,1497507.3300363917,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,10219.952658499924,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,150084.6151019287,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,29542.555953907686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38.0,1618784.2363720476,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39.0,37199.15358764649,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40.0,403243.69076793,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41.0,43682.879278564455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42.0,732732.4551692817,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43.0,2639.3571166992188,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44.0,145984.38186568685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,45.0,125319.11190612796,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,46.0,58985.82237258732,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,47.0,1527725.5638882262,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,48.0,56600.16388122559,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,49.0,497270.8614624024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49,50.0,192223.12821431487,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50,51.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51,52.0,28775.216140136723,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52,53.0,281607.7966381835,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53,54.0,15134.101556396485,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,55.0,4407.820251464844,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55,56.0,131142.93976501463,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56,57.0,18312.999765624998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,58.0,325791.40815855504,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58,59.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59,60.0,2819855.232916287,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60,61.0,136613.2702794333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,62.0,145139.31018798827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62,63.0,34635.83635498047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63,64.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_64,65.0,1409136.493709525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_65,66.0,50288.2228918457,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_66,67.0,8012.345947265625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_67,68.0,2556.3164337158205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_68,69.0,2624.517603149414,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_69,70.0,15975.44137451172,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_70,71.0,7121.2352294921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_71,72.0,618331.2860348929,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_72,73.0,75580.5042175293,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_73,74.0,885.4638671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_74,75.0,141821.7661506683,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_75,76.0,2.6441339064580716E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_76,77.0,8901.499206542969,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_77,78.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_78,79.0,53297.30754412243,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_79,80.0,889.2362060546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_80,81.0,2004677.2006787225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_81,82.0,1555685.809803295,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_82,83.0,8654.136287841797,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_83,84.0,949963.3818500057,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_84,85.0,951059.0608178279,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_85,86.0,15718.70349121094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_86,87.0,212516.38632480035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_87,88.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_88,89.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_89,90.0,3552208.67156569,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_90,91.0,3558.9413452148438,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_91,92.0,1389392.9031634736,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_92,93.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_93,94.0,10537.938415527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_94,95.0,254612.5507336906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_95,96.0,137293.68064593145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_96,97.0,2675.3783569335938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_97,98.0,83481.4707671042,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_98,99.0,339296.719241333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_99,100.0,1.1260716287696749E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_100,101.0,96390.72484023149,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_101,102.0,131781.1603333357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_102,103.0,153376.30728515633,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_103,104.0,131234.74042419434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_104,105.0,452065.9959594728,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_105,106.0,26778.148177657782,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_106,107.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_107,108.0,23647.33084412339,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_108,109.0,28543.13319885254,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_109,110.0,9273168.975476488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_110,111.0,430105.0023100609,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_111,112.0,2549145.073534012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_112,113.0,59751.58594055174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_113,114.0,5316.649230957031,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_114,115.0,10563.531513671876,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_115,116.0,40804.9877355957,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_116,117.0,2666.3068237304688,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_117,118.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_118,119.0,8831442.345515655,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_119,120.0,20094.638947143554,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_120,121.0,41061.94896468818,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_121,122.0,3941845.195809991,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_122,123.0,892.2719116210938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_123,124.0,80573.30608520508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_124,125.0,13962.256411132812,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_125,126.0,34984.25219543457,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_126,127.0,1435931.141876826,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_127,128.0,170724.66783771102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_128,129.0,24071.818531494144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_129,130.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_130,131.0,30210.64697265625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_131,132.0,5289.131221923828,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_132,133.0,22167.92417968751,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_133,134.0,1.0388703107086044E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_134,135.0,46262.68111999512,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_135,136.0,11416.907640991212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_136,137.0,239935.22537658212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_137,138.0,8776.08275756836,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_138,139.0,2666.892578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_139,140.0,6196.2293701171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_140,141.0,8846.630432128906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_141,142.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_142,143.0,497486.003748241,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_143,144.0,2241765.0791678294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_144,145.0,693137.5384297901,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_145,146.0,1328717.1773626702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_146,147.0,2058904.0881304587,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_147,148.0,747900.951295652,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_148,149.0,562532.4149508725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_149,150.0,79225.50320251464,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_150,151.0,43998.52239440917,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_151,152.0,889.905029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_152,153.0,235152.7891711426,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_153,154.0,470898.36822814913,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_154,155.0,710029.6503851317,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_155,156.0,2316801.74563611,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_156,157.0,50612.41561645507,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_157,158.0,889.905029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_158,159.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_159,160.0,497780.44674678065,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_160,161.0,9751.533569335938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_161,162.0,5336.277346191406,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_162,163.0,1025189.3000421862,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_163,164.0,140599.93688659667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_164,165.0,38233.15334670362,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_165,166.0,4585074.7425126415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_166,167.0,88840.7909649658,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_167,168.0,23748.147391967774,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_168,169.0,73784.93148096422,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_169,170.0,27481.58318458707,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_170,171.0,20355.953255004883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_171,172.0,395339.8286344639,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_172,173.0,67521.4776953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_173,174.0,56700.694558979114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_174,175.0,163018.04163391117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_175,176.0,108874.0033546717,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_176,177.0,199857.41499911685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_177,178.0,1361520.9881542325,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_178,179.0,53456.93833251953,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_179,180.0,2614.335330810547,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_180,181.0,1741.2788818359377,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_181,182.0,22146.58203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_182,183.0,18928.77559936523,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_183,184.0,3567.318359375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_184,185.0,2670354.2224129513,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_185,186.0,1771.8374774169922,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_186,187.0,11558.284973144531,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_187,188.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_188,189.0,16638.03077331543,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_189,190.0,18610.13122009277,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_190,191.0,235978.47584655744,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_191,192.0,8419.48610168457,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_192,193.0,917879.1656986609,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_193,194.0,159277.91959350588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_194,195.0,123426.7246006386,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_195,196.0,30848.3825390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_196,197.0,47050.19437683105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_197,198.0,71106.41202148436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_198,199.0,1760.5973571777345,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_199,200.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_200,201.0,5284667.036620649,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_201,202.0,1055985.2323245897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_202,203.0,735158.4569927235,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_203,204.0,1143191.531894207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_204,205.0,17761.688415527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_205,206.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_206,207.0,1250848.2797842226,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_207,208.0,2655.8963623046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_208,209.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_209,210.0,89899.40774780275,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_210,211.0,138461.493137207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_211,212.0,1751.2334173583986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_212,213.0,32462.582515869144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_213,214.0,3431.283603515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_214,215.0,39774.18541687011,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_215,216.0,6131.031424560547,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_216,217.0,7872657.411740083,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_217,218.0,639153.7640673827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_218,219.0,6144.196940917969,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_219,220.0,232844.15207042018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_220,221.0,212.08654941693473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_221,222.0,2304926.0300050923,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_222,223.0,694.0850756835938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_223,224.0,19124.76551330566,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_224,225.0,17653.798593139647,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_225,226.0,45757.577020874014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_226,227.0,1220181.021421114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_227,228.0,44142.27749145508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_228,229.0,164471.06465454103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_229,230.0,2671688.723149549,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_230,231.0,33340.05337062462,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_231,232.0,7125.61376953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_232,233.0,93223.19673184025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_233,234.0,67487.07063483744,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_234,235.0,3974361.8657808877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_235,236.0,2523646.6274815057,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_236,237.0,124994.49657091325,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_237,238.0,145478.58484680174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_238,239.0,766160.3362380089,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_239,240.0,158132.13025237195,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_240,241.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_241,242.0,3275330.769431742,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_242,243.0,8888.091954956055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_243,244.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_244,245.0,47048.25476074219,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_245,246.0,65891.09684936523,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_246,247.0,16540.709902954102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_247,248.0,1782.4281005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_248,249.0,122268.35699829101,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_249,250.0,13332.775329589844,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_250,251.0,18202.923959142347,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_251,252.0,7082.51820171042,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_252,253.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_253,254.0,889.3671264648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_254,255.0,11493.209045410156,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_255,256.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_256,257.0,375815.285854588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_257,258.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_258,259.0,1434359.279590866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_259,260.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_260,261.0,6858306.362813411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_261,262.0,58232.08555114746,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_262,263.0,841098.054681935,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_263,264.0,128595.50467224121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_264,265.0,213253.07408630368,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_265,266.0,79655.68187438963,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_266,267.0,1769.6399536132812,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_267,268.0,32360.652036743162,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_268,269.0,22690.73745061179,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_269,270.0,203902.99704464182,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_270,271.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_271,272.0,243797.37282314405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_272,273.0,60558.66079467774,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_273,274.0,41432.89274536133,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_274,275.0,123777.66637684303,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_275,276.0,4423.569519042969,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_276,277.0,288493.345727539,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_277,278.0,40983.759040060606,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_278,279.0,6525774.794720255,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_279,280.0,115723.26879455558,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_280,281.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_281,282.0,5208.899702148437,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_282,283.0,1370348.8922218622,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_283,284.0,63625.233053517055,"{""type"":""MultiPoint"",""coordinates"":[]}"
