system:index,ID,accessibility,accessibility_walking_only,aspect,be75,hillshade,slope,.geo
1_0,1.0,172.68931472172622,710.034598562725,169.35468945024618,107.97815208533825,180.2011473777805,1.555115293204285,"{""type"":""Polygon"",""coordinates"":[[[-61.22939878431001,-7.6574010384933215],[-61.30077263473591,-7.667474358709393],[-61.3664747156447,-7.696893849196608],[-61.421281811688125,-7.743321406776867],[-61.46083297188334,-7.803066294929167],[-61.48197607046712,-7.871377431806691],[-61.48301983881861,-7.942820144104244],[-61.46387101040135,-8.011707839486292],[-61.426044918633515,-8.07255454262155],[-61.372547716383714,-8.120512336161829],[-61.307638666516745,-8.151758668703858],[-61.23649087680612,-8.163802256670298],[-61.164777522622835,-8.155682701043975],[-61.09821712914533,-8.128047494115922],[-61.042115134864446,-8.083100098926213],[-61.00093929196569,-8.024423361965512],[-60.97796343576719,-7.956692712423784],[-60.97500814028094,-7.885302502540854],[-60.9922984590178,-7.8159357056431364],[-61.02844919976482,-7.754111493127783],[-61.080577903855485,-7.704746694837469],[-61.14453572539116,-7.671765785219732],[-61.21523743937066,-7.657790014368064],[-61.22939878431001,-7.6574010384933215]]]}"
1_1,2.0,439.6229487413155,930.3783695113303,173.27155079133232,151.99371398227527,180.29900195168202,1.4983047795971998,"{""type"":""Polygon"",""coordinates"":[[[-65.8039998490608,-9.958963192735705],[-65.87581993197959,-9.969034716499785],[-65.94193569852375,-9.998449377174078],[-65.99709305337647,-10.044870576263422],[-66.03690365231131,-10.104609559076435],[-66.05819348921735,-10.172917085717897],[-66.0592570488722,-10.244359610502169],[-66.03999638318487,-10.313250601529349],[-66.00193305072295,-10.374103056238656],[-65.94809067931061,-10.422067261792904],[-65.8827563099645,-10.453318663487275],[-65.81113882901404,-10.465364393169104],[-65.73895174175283,-10.457243382157644],[-65.67195432209454,-10.429603577819309],[-65.61548897956594,-10.38464988041069],[-65.57405303365285,-10.325967105661729],[-65.5509399306276,-10.258232567961212],[-65.54797868370841,-10.186841831985795],[-65.56539172147909,-10.117478033323911],[-65.60178133902414,-10.055659406444637],[-65.65424452653306,-10.006301038621254],[-65.71860595944807,-9.973325399799407],[-65.78975006582252,-9.959352097890262],[-65.8039998490608,-9.958963192735705]]]}"
1_2,3.0,386.38586482781227,1530.579057788469,167.88646346577892,71.53341935602533,180.2436059003335,0.9538910840826853,"{""type"":""Polygon"",""coordinates"":[[[-63.17276319328788,-6.729072768819237],[-63.24399103151975,-6.739146807815579],[-63.30955754701498,-6.768568230685854],[-63.36424950526696,-6.814998332050789],[-63.40371492810809,-6.874745582360266],[-63.4248090010158,-6.943058162917504],[-63.42584537264064,-7.014500949573134],[-63.4067325928025,-7.0833873261582445],[-63.36898418280644,-7.144231728487703],[-63.315600668183215,-7.1921869574163395],[-63.25083214213049,-7.223431262632024],[-63.17983976690002,-7.235473994092072],[-63.10828318476391,-7.227355020495346],[-63.04186724143213,-7.199721652205721],[-62.98588501447665,-7.15477677765881],[-62.94479446740022,-7.09610245590889],[-62.921863077184526,-7.028373362112194],[-62.918908859950626,-6.956983363319618],[-62.93615800784865,-6.887615367611048],[-62.97222969095282,-6.825788920908926],[-63.0242483516778,-6.776421550097002],[-63.08807384635378,-6.7434385316883425],[-63.158630779433885,-6.729461772990182],[-63.17276319328788,-6.729072768819237]]]}"
1_3,4.0,39.43612157040186,298.70272933302397,167.46253318724123,515.0195807372082,180.307808307684,1.1406374746706767,"{""type"":""Polygon"",""coordinates"":[[[-57.772918974416136,-13.38488818553999],[-57.845632765337655,-13.39495698593561],[-57.912575727485574,-13.424364324221688],[-57.968431111893175,-13.470775881862382],[-58.00875577355264,-13.530505908035291],[-58.030332878052086,-13.59880795610919],[-58.031430050255366,-13.670250192075882],[-58.011941827551034,-13.739146178022937],[-57.97340370699607,-13.800007355097893],[-57.91887490784132,-13.84798128724881],[-57.85269757876983,-13.879240379745115],[-57.78015070308043,-13.891289359050477],[-57.70702635534744,-13.88316613976826],[-57.639163156535886,-13.855519360192602],[-57.5819758365593,-13.810556102369759],[-57.54002018613056,-13.751864170596125],[-57.5166293110145,-13.684123738903383],[-57.51365045769067,-13.612732209442507],[-57.53130262795789,-13.543372961579779],[-57.56816481049212,-13.481562807045359],[-57.62129399138115,-13.43221419020269],[-57.686462064687284,-13.399246542519789],[-57.758492023056995,-13.385276983486694],[-57.772918974416136,-13.38488818553999]]]}"
1_4,5.0,426.76659386328043,1313.8877884609299,173.07646403186305,100.44816680189989,180.4060511887354,1.1099460802618206,"{""type"":""Polygon"",""coordinates"":[[[-61.86541234743753,-8.34961557176839],[-61.93690769911322,-8.359688353997482],[-62.00272249465594,-8.389106398120568],[-62.05762515645985,-8.435532051630142],[-62.09724727133635,-8.495275171536509],[-62.118430699557535,-8.563585227555068],[-62.11948019851615,-8.635027883947892],[-62.100301121368936,-8.703916566348026],[-62.06241041308471,-8.764764991745192],[-62.0088189510077,-8.812724705164484],[-61.94379359133163,-8.843972555439283],[-61.87251727218426,-8.856016784632992],[-61.80067427503962,-8.847896793266798],[-61.73399434867711,-8.820260209856533],[-61.677793095987965,-8.775310927682828],[-61.636546362106394,-8.716632382789221],[-61.61353330032701,-8.648900568834318],[-61.610576706973085,-8.577510201178583],[-61.627900817001844,-8.508144301862622],[-61.66411693173428,-8.446321761830973],[-61.71633693126346,-8.396958889143121],[-61.78040474586583,-8.363979557938698],[-61.851226924868634,-8.350004526464316],[-61.86541234743753,-8.34961557176839]]]}"
1_5,6.0,547.5451450212117,1850.5538116320674,173.89227359786491,77.1416244807392,180.3914606462879,2.2057962599732064,"{""type"":""Polygon"",""coordinates"":[[[-60.231051820291746,-6.157472126472735],[-60.302199327616755,-6.167546606652962],[-60.367691188163015,-6.196969215588504],[-60.42231961504576,-6.243400878226342],[-60.46173756995689,-6.303149578237059],[-60.482804314239296,-6.371463044687183],[-60.483836291938324,-6.442905876794445],[-60.46474315243229,-6.511791443859453],[-60.42703749930039,-6.572634434096256],[-60.37371679406245,-6.620588089134903],[-60.30902605676819,-6.65183115024131],[-60.238119793641864,-6.663873356099967],[-60.166650082843574,-6.655754739669293],[-60.10031412215535,-6.628122499690555],[-60.04439809570092,-6.583179172034845],[-60.00335454143644,-6.524506332566996],[-59.98044745885806,-6.456778193693153],[-59.97749352854898,-6.385388324635126],[-59.99471966768275,-6.316019593333221],[-60.03074754075415,-6.254191775492659],[-60.08270544911694,-6.204822825786632],[-60.14645805019821,-6.171838513044117],[-60.216935320897754,-6.157861148011832],[-60.231051820291746,-6.157472126472735]]]}"
1_6,7.0,569.6430646671112,2352.9565302299197,167.09281606691172,211.20195831289945,180.36599430301627,2.218232491306782,"{""type"":""Polygon"",""coordinates"":[[[-62.10284251009285,-13.263426131578687],[-62.17551977416589,-13.273495029738614],[-62.24242894798803,-13.302902630897137],[-62.29825585553166,-13.349314534694594],[-62.33855959061616,-13.409044882485778],[-62.36012505424258,-13.477347127346869],[-62.36122094376723,-13.548789373776643],[-62.341742075556525,-13.617685180439253],[-62.3032233547517,-13.678546044330428],[-62.24872253698632,-13.726519627184247],[-62.18257952659029,-13.757778443466172],[-62.11007046550461,-13.769827306056163],[-62.036984250391754,-13.761704166087815],[-61.96915629343862,-13.734057637030267],[-61.91199839481905,-13.689094722544365],[-61.87006396674131,-13.630403119574035],[-61.84668448825995,-13.562662899458417],[-61.843706440516954,-13.491271398397677],[-61.86134893769245,-13.42191198705294],[-61.89819189449715,-13.360101528277996],[-61.95129391455262,-13.31075256133782],[-62.01642904537429,-13.277784626770584],[-62.08842280047676,-13.26381493337393],[-62.10284251009285,-13.263426131578687]]]}"
1_7,8.0,821.5834368254995,2152.0138309446293,171.785106077036,85.43200830425589,180.3002156125912,1.668485168817025,"{""type"":""Polygon"",""coordinates"":[[[-61.02984221654723,-6.860021866444675],[-61.10108948236669,-6.87009580422604],[-61.166674044164104,-6.899516954990684],[-61.22138134473239,-6.945946698163799],[-61.26085821162524,-7.00569361586826],[-61.28195885101538,-7.074005993162064],[-61.28299624631963,-7.145448769370055],[-61.26387869347555,-7.214335331667407],[-61.22611994525034,-7.275180057968627],[-61.17272127202664,-7.323135648001505],[-61.10793399051545,-7.354380238663944],[-61.036920862603694,-7.3664230907184285],[-60.9653433456525,-7.358304035173146],[-60.89890812033634,-7.330670408004718],[-60.84290992021449,-7.28572517854637],[-60.80180801610717,-7.227050516718648],[-60.77887072848705,-7.159321203848144],[-60.775916405081,-7.087931175310338],[-60.793171074534484,-7.0185633483839895],[-60.829253315000514,-6.956737216264893],[-60.8812866430997,-6.90737020768925],[-60.94512975565586,-6.874387486225891],[-61.01570595357666,-6.860410866631083],[-61.02984221654723,-6.860021866444675]]]}"
1_8,9.0,1743.8439950497643,3326.863052545802,176.40497526074031,209.01027353897925,180.3420266965137,3.3624462439259437,"{""type"":""Polygon"",""coordinates"":[[[-59.25787728546059,-7.593767796130667],[-59.3292405097906,-7.6038411657120895],[-59.39493272945958,-7.633260788915522],[-59.44973145826955,-7.679688521207033],[-59.4892763980245,-7.739433571602313],[-59.51041595160905,-7.807744807645707],[-59.511459202479394,-7.8791875250623296],[-59.492313009852786,-7.9480751298734384],[-59.454492570186744,-8.008921674982425],[-59.40100362476804,-8.056879292370326],[-59.336104770951685,-8.088125485660525],[-59.264968252560855,-8.100169014795048],[-59.193266267702725,-8.092049499147356],[-59.12671635385083,-8.06441441851105],[-59.07062305588485,-8.019467196454675],[-59.02945341619084,-7.9607906253795555],[-59.00648080603157,-7.893060082684458],[-59.003525608665996,-7.8216698872882],[-59.02081295414524,-7.7523030080420305],[-59.056957961664594,-7.6904786420716436],[-59.10907867079575,-7.64111366709532],[-59.173026868086666,-7.60813261264516],[-59.24371804614859,-7.594156773948768],[-59.25787728546059,-7.593767796130667]]]}"
1_9,10.0,391.57177017214883,1506.71704561619,173.0814635297958,133.4334933653221,180.28041029506244,1.3964473140953946,"{""type"":""Polygon"",""coordinates"":[[[-61.271898775091294,-8.693214360243752],[-61.34345847430628,-8.703286874728677],[-61.40933293738588,-8.732704199019118],[-61.4642861418743,-8.779128904877107],[-61.50394572380657,-8.838871144691074],[-61.52515037831104,-8.907180662692818],[-61.52620279162213,-8.97862329118338],[-61.50700762314267,-9.047512464779846],[-61.4690827007708,-9.10836174736368],[-61.4154414158253,-9.156322416372207],[-61.35035463543281,-9.187571022095977],[-61.279010472693486,-9.199615570464081],[-61.20709904681822,-9.191495362205698],[-61.14035600532886,-9.163858093651035],[-61.08410229970002,-9.118907872254605],[-61.04281804620058,-9.060228427524363],[-61.019785222218964,-8.992496034072833],[-61.01682782767738,-8.921105587968077],[-61.03416970066153,-8.851740135456032],[-61.07042032055444,-8.789918427864444],[-61.12268859235385,-8.740556513551406],[-61.18681462556297,-8.707577967901667],[-61.257700600011255,-8.693603304399485],[-61.271898775091294,-8.693214360243752]]]}"
