system:index,ID,sum,.geo
1_0,1.0,2.356673758154543E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,2.446451482008403E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,2.4155915609958744E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,5.871482084328748E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,1.2723301501096447E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,2.3915069877339225E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,1.8647796913847234E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,2.415891149062443E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,2.4421255277036505E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,2.4345695756778374E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,2.2625337968145866E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,2.4343367889539943E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,2.0921970180277069E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,1.31571922232767E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,2.281521126146533E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,2.3949809031242375E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,1.2724226809745982E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,2.4271856981906357E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,1.918502948008196E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,2.4226915354517837E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,2.3981671540448623E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,2.424491534213712E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,2.3050017671256685E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,1.8166130366555774E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,3.0183328251188177E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,1.746372685327012E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,2.049091180841172E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
