system:index,ID,sum,.geo
1_0,1.0,1.42408961510014E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,181250.028649292,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,2015937.8816467286,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,281933.7161810305,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,255240.51970347684,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,3328355.1177417645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,2190112.076818394,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,24752.671735839845,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,47814.33399108886,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,6232579.017747646,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,9433621.247425538,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,25391.079514160156,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,4.301819243972553E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,467420.8908953855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,1776266.0811737897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,14880.039099121093,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,6825516.483211473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,376993.3630834961,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,3764049.4085284364,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,969116.0942119525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,6553342.768652953,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,222429.96224182128,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,1.1999519574649852E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,262491.1928453465,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,70256.59177717859,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,1.1363693346213125E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,2.6359361965294022E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,2.170313230073529E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,199641.29048716824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,2832142.8349674256,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,2898774.9527120222,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32.0,1.8103562580969017E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33.0,6.262707396268738E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34.0,989091.6869116211,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35.0,1.3940468645938503E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36.0,156766.3861521762,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37.0,709061.346002291,"{""type"":""MultiPoint"",""coordinates"":[]}"
