system:index,ID,accessibility,accessibility_walking_only,aspect,be75,hillshade,slope,.geo
1_0,1.0,532.0129228723038,1310.423801475302,179.9130600513128,300.40369385698114,180.1533683212981,2.5605754413007373,"{""type"":""Polygon"",""coordinates"":[[[-73.59979782853796,-10.76490919416513],[-73.62164148283654,-10.767966173221836],[-73.64174762862636,-10.776893952467075],[-73.65851667634226,-10.790982358547822],[-73.67061401514236,-10.809110584459257],[-73.67707618257411,-10.829836210129592],[-73.6773877142785,-10.851509836162771],[-73.67152250878642,-10.872406262834225],[-73.65994631187911,-10.890861808308285],[-73.6435799959205,-10.905406838728794],[-73.62372644587101,-10.91488292980891],[-73.60196681170856,-10.918535278014854],[-73.58003439641664,-10.916072942177463],[-73.55967629719235,-10.907692069833326],[-73.5425139357249,-10.894060238054882],[-73.52991370596597,-10.876263169804027],[-73.52287812602567,-10.855718113015707],[-73.52196618369679,-10.834060839729714],[-73.52724916894907,-10.813015318981662],[-73.53830540542863,-10.79425647438747],[-73.5542541733801,-10.779276954656602],[-73.57382601326776,-10.769268492045313],[-73.59546375368568,-10.765027238543311],[-73.59979782853796,-10.76490919416513]]]}"
1_1,2.0,459.2235616204546,1485.61684320099,168.20108989244395,130.66171436049453,180.0777595046336,1.478138632148371,"{""type"":""Polygon"",""coordinates"":[[[-69.10772327560161,-5.376649511414193],[-69.1292772439872,-5.379706876291529],[-69.14911612706756,-5.38863569266121],[-69.16566117176453,-5.402725463670768],[-69.17759549491213,-5.420854956512958],[-69.18396887406668,-5.441581355803668],[-69.1842734611912,-5.463255020668064],[-69.17848437014541,-5.4841507391512945],[-69.16706185756468,-5.502605050347552],[-69.15091486119861,-5.517148705612433],[-69.13132874245599,-5.526623709932312],[-69.10986295404777,-5.530275599067013],[-69.0882267829965,-5.527813575182637],[-69.06814309904875,-5.519433688414431],[-69.05121101542996,-5.505803208125754],[-69.03877845757856,-5.488007435379131],[-69.03183482820252,-5.467463213768469],[-69.03093232435798,-5.445806054756878],[-69.03614214533437,-5.424759891830742],[-69.04704902518498,-5.405999849083268],[-69.06278446252173,-5.391018949096081],[-69.08209594896667,-5.3810093547237425],[-69.10344665727015,-5.376767570981396],[-69.10772327560161,-5.376649511414193]]]}"
1_2,3.0,2019.7496072419824,2729.8127107690966,170.4060443352922,202.8110130965333,180.23712781701897,2.068475776089997,"{""type"":""Polygon"",""coordinates"":[[[-68.71676649993695,-8.248165440399525],[-68.7384499885671,-8.251222600957021],[-68.75840841567592,-8.260150868099837],[-68.77505374207847,-8.274239916302665],[-68.78706115617024,-8.292368738256544],[-68.79347447893426,-8.313094727914564],[-68.79378239488584,-8.334768372260088],[-68.78795940533462,-8.355664465791635],[-68.77646816648203,-8.374119430595698],[-68.76022293006916,-8.388663814043474],[-68.7405169119201,-8.398139393820708],[-68.71891932367586,-8.40179152603857],[-68.69715027189412,-8.39932933697187],[-68.67694354268298,-8.390948928326555],[-68.6599082875953,-8.377317732390361],[-68.6474007171486,-8.359521273619707],[-68.64041608377802,-8.338976609718983],[-68.63950957123652,-8.317319390150745],[-68.64475235134582,-8.296273567249084],[-68.65572622687563,-8.277514158963676],[-68.67155719062393,-8.262533989896086],[-68.6909851459888,-8.2525249948652],[-68.712464194141,-8.248283491923027],[-68.71676649993695,-8.248165440399525]]]}"
1_3,4.0,1829.0640302250006,2261.902894039584,184.78886626637714,1734.7818651072207,178.66940602805101,21.2088398885655,"{""type"":""Polygon"",""coordinates"":[[[-73.25627211413973,-12.185542119254873],[-73.27822602913811,-12.188598994558884],[-73.2984338347735,-12.19752649489924],[-73.31528797045601,-12.21161453390165],[-73.32744708088165,-12.22974241905854],[-73.3339427135981,-12.250467836615833],[-73.33425658858637,-12.272141452145013],[-73.32836223448216,-12.293038069242531],[-73.31672755959816,-12.311493946674416],[-73.30027800840439,-12.326039346977751],[-73.28032310952533,-12.335515730386204],[-73.25845219372636,-12.33916820208156],[-73.23640759529499,-12.336705782329107],[-73.21594552019084,-12.328324644872211],[-73.19869579531449,-12.31469244957148],[-73.18603180701291,-12.296895032887745],[-73.17896108448554,-12.276349751512688],[-73.17804526652608,-12.254692447551625],[-73.18335576875207,-12.233647099569962],[-73.1944685621761,-12.21488857724002],[-73.21049833397197,-12.19990942871497],[-73.23016918504277,-12.18990127046088],[-73.25191616784946,-12.185660159548533],[-73.25627211413973,-12.185542119254873]]]}"
1_4,5.0,2422.0390280132133,5712.509900121491,177.25553832278592,370.2324458982149,180.2192917972527,3.737766038605713,"{""type"":""Polygon"",""coordinates"":[[[-72.57194287287494,-10.211096181136028],[-72.59374746384371,-10.214153200367594],[-72.61381758828661,-10.22308108760886],[-72.63055647749812,-10.237169635825413],[-72.64263191031407,-10.255297993676288],[-72.64908219599153,-10.27602369992305],[-72.64939287418458,-10.297697330016529],[-72.6435379816794,-10.318593682949867],[-72.63198250380817,-10.337049099888924],[-72.6156456954186,-10.351593987093866],[-72.59582808570745,-10.361069964988777],[-72.57410792031119,-10.36472226538185],[-72.5522152940588,-10.36225996203483],[-72.5318940683146,-10.353879192338194],[-72.51476268027841,-10.340247501312007],[-72.50218504373852,-10.322450567974403],[-72.49516190295238,-10.30190559815051],[-72.49425131166794,-10.2802483367487],[-72.4995245224277,-10.259202749111072],[-72.51056069916247,-10.240443779737769],[-72.52648075382959,-10.22546411627351],[-72.54601750927667,-10.215455535810973],[-72.56761654649438,-10.211214227095809],[-72.57194287287494,-10.211096181136028]]]}"
1_5,6.0,1028.8580025172726,1839.8157169070985,170.91115214678294,296.5336084847045,179.86089549100782,2.774300110804019,"{""type"":""Polygon"",""coordinates"":[[[-73.58215976663767,-7.902882068597427],[-73.60382471561303,-7.905939253859907],[-73.6237660381591,-7.914867587412189],[-73.64039702862435,-7.928956723014531],[-73.65239400995948,-7.947085626092853],[-73.65880165047773,-7.967811665287501],[-73.65910912209995,-7.989485312119419],[-73.6532910038794,-8.010381360304027],[-73.64180960068789,-8.028836246074473],[-73.62557840044943,-8.043380541467938],[-73.60588949750571,-8.052856051657486],[-73.58431071492151,-8.056508154479992],[-73.5625606222964,-8.05404598538834],[-73.54237145524651,-8.045665639851654],[-73.52535093763558,-8.032034530454387],[-73.5128540980263,-8.014238154637809],[-73.50587534947144,-7.993693544215441],[-73.50496944109636,-7.9720363319645084],[-73.51020753888342,-7.9509904679427725],[-73.52117185582884,-7.932230982936903],[-73.53698916667334,-7.917250725488347],[-73.55640045967009,-7.907241657988198],[-73.57786113801161,-7.903000121093516],[-73.58215976663767,-7.902882068597427]]]}"
1_6,7.0,175.6487880479767,622.903932766605,159.49165820009785,3041.4247861183762,167.71173479290167,22.38472794670572,"{""type"":""Polygon"",""coordinates"":[[[-75.69269398208851,-10.37416026566597],[-75.71450984863439,-10.377217273083376],[-75.73459037091999,-10.386145128566458],[-75.7513379662031,-10.400233634985542],[-75.76341972352695,-10.41836195403757],[-75.7698734405004,-10.43908763658984],[-75.77018436655503,-10.460761265489722],[-75.76432649810734,-10.48165764010722],[-75.75276503962667,-10.500113094844089],[-75.73641971270727,-10.51465802416367],[-75.71659172666452,-10.524134035342232],[-75.69486016585651,-10.527786349795312],[-75.67295605168896,-10.525324036894075],[-75.65262418010738,-10.516943237012548],[-75.63548385020881,-10.503311504596134],[-75.62289969186254,-10.485514531585142],[-75.61587296125099,-10.464969536187722],[-75.61496198140208,-10.443312271290784],[-75.62023801520698,-10.422266703322776],[-75.63127998361382,-10.403507770642658],[-75.64720832730136,-10.388528149445632],[-75.66675521024843,-10.378519603639367],[-75.68836541913333,-10.374278311160651],[-75.69269398208851,-10.37416026566597]]]}"
1_7,8.0,52.44886084688801,249.70995268475443,174.36373895252714,3871.8187999525667,180.22073057723816,17.705978377705026,"{""type"":""Polygon"",""coordinates"":[[[-76.5039188694437,-9.995853406905072],[-76.52570886468438,-9.998910441712688],[-76.54576552915688,-10.007838370824583],[-76.56249314762805,-10.021926974147602],[-76.57456039185914,-10.040055383151241],[-76.58100623373454,-10.060781120636712],[-76.58131658913024,-10.082454752303342],[-76.57546554769203,-10.103351076647666],[-76.56391781156555,-10.121806443753604],[-76.54759203160818,-10.136351275434384],[-76.5277878564634,-10.14582720944808],[-76.50608244557482,-10.149479491304458],[-76.48420469364589,-10.147017200553712],[-76.46389725153414,-10.138636470652852],[-76.44677744019343,-10.125004834195723],[-76.43420824623585,-10.107207953163945],[-76.42718975137912,-10.086663017056798],[-76.42627966123172,-10.065005760263501],[-76.43154921553325,-10.043960146693646],[-76.44257789331267,-10.025201128943767],[-76.45848721695042,-10.010221409753747],[-76.47801086225098,-10.000212783599705],[-76.4995954381939,-9.995971453478049],[-76.5039188694437,-9.995853406905072]]]}"
1_8,9.0,2914.0963929107647,5132.091243335472,179.35982896798706,465.074464288862,180.65387156542013,5.578698630916571,"{""type"":""Polygon"",""coordinates"":[[[-72.39642236211459,-10.541534814982791],[-72.41824999839973,-10.544591810260924],[-72.43834137393065,-10.553519633111833],[-72.45509805607489,-10.567608096583054],[-72.46718641386596,-10.585736375768198],[-72.47364371105947,-10.606462033973497],[-72.4739548945131,-10.628135661646576],[-72.46809391891401,-10.649032058544874],[-72.45652621779617,-10.667487552119958],[-72.44017200008635,-10.6820325247136],[-72.42033318490968,-10.691508570092228],[-72.39858973176061,-10.69516089899245],[-72.37667362874495,-10.692698576273918],[-72.35633064685024,-10.684317745376406],[-72.33918098446475,-10.670685970430247],[-72.32659001875767,-10.652888956653795],[-72.31955954035628,-10.632343934979113],[-72.3186481536628,-10.610686666491183],[-72.32392713277322,-10.589641118734514],[-72.3349751453898,-10.570882223757705],[-72.3509121405126,-10.555902645991258],[-72.37046959443099,-10.545894135795029],[-72.392091464555,-10.541652859999576],[-72.39642236211459,-10.541534814982791]]]}"
1_9,10.0,1502.7433261926546,4564.910916232238,180.02970192790946,314.9364766729854,180.6703647424757,3.0397555325181678,"{""type"":""Polygon"",""coordinates"":[[[-72.70335174909519,-9.856247514894138],[-72.72513245228377,-9.859304559793287],[-72.7451805474927,-9.868232516032608],[-72.76190098999663,-9.882321155058275],[-72.77396302003082,-9.900449597202861],[-72.78040603152643,-9.921175354927122],[-72.78071618020913,-9.942848987612662],[-72.77486758975093,-9.963745293434432],[-72.76332478230849,-9.98220062825433],[-72.74700602434122,-9.996745423962116],[-72.72721040380188,-10.006221329546138],[-72.7055143883195,-10.009873599393012],[-72.68364610812093,-10.007411316803106],[-72.66334744296584,-9.999030612685042],[-72.64623500282782,-9.98539901158209],[-72.63367118390249,-9.967602164438338],[-72.62665564619321,-9.947057250175877],[-72.62574587394066,-9.925399996368661],[-72.63101309910174,-9.904354365998019],[-72.6420370016582,-9.885595316905876],[-72.65793949283523,-9.870615561612007],[-72.67745479150388,-9.86060690585505],[-72.6990301609582,-9.856365561864395],[-72.70335174909519,-9.856247514894138]]]}"
