system:index,ID,sum,.geo
1_0,1.0,2.2325839119943717E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.0,2.214572004787474E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3.0,2.2394593991888988E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4.0,2.0971015306094512E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5.0,2.2406409426385257E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6.0,2.2463382790106767E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7.0,1.2821181968092203E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8.0,367283.683021343,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9.0,2.2304224135149738E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10.0,2.2127082749177223E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11.0,1.911359132294639E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12.0,6.171859177772961E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13.0,2.2207231816434437E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14.0,2.1632008932444403E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15.0,2.2522928975285715E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16.0,2.0311764295217437E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17.0,2.237032093836816E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18.0,2.094800673780909E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19.0,2.1418100066553938E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20.0,922562.9748933519,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21.0,2.2394794480963153E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22.0,2.2333380720539653E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23.0,2.2463792507541466E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24.0,2.2293649051126E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25.0,2.2499264446137452E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26.0,1.912379124898078E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27.0,2.2359827333481896E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28.0,2.241131867352467E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29.0,2.028617416833833E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30.0,2.2228263747767726E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31.0,2.174582235023922E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
